!	!
fpkeo	PPMSA
fpkeþ	PPMSD
fpkfe	PPMPG
fpkfn	PPMPN
fpkfo	PPMPA
fpkfþ	PPMPD
fpvee	PPFSG
fpven	PPFSN
fpveo	PPFSA
fpveþ	PPFSD
fpvfe	PPFPG
fpvfn	PPFPN
fpvfo	PPFPA
fpvfþ	PPFPD
fshee	PQNSG
fshen	PQNSN
fsheo	PQNSA
fsheþ	PQNSD
fshfe	PQNPG
fshfn	PQNPN
fshfo	PQNPA
fshfþ	PQNPD
fskee	PQMSG
fsken	PQMSN
fskeo	PQMSA
fskeþ	PQMSD
fskfe	PQMPG
fskfn	PQMPN
fskfo	PQMPA
fskfþ	PQMPD
fsvee	PQFSG
fsven	PQFSN
fsveo	PQFSA
fsveþ	PQFSD
fsvfe	PQFPG
fsvfn	PQFPN
fsvfo	PQFPA
fsvfþ	PQFPD
ghee	PNSG
ghen	PNSN
gheo	PNSA
gheþ	PNSD
ghfe	PNPG
ghfn	PNPN
ghfo	PNPA
ghfþ	PNPD
gkee	PMSG
gken	PMSN
gkeo	PMSA
gkeþ	PMSD
gkfe	PMPG
gkfn	PMPN
gkfo	PMPA
gkfþ	PMPD
gvee	PFSG
gven	PFSN
gveo	PFSA
gveþ	PFSD
gvfe	PFPG
gvfn	PFPN
gvfo	PFPA
gvfþ	PFPD
lheeof	APINSG
lheesf	APSNSG
lheeve	ASWNSG
lheevf	APWNSG
lheevm	ACWNSG
lhenof	APINSN
lhense	ASSNSN
lhensf	APSNSN
lhensm	ACSNSN
lhenve	ASWNSN
lhenvf	APWNSN
lhenvm	ACWNSN
lheoof	APINSA
lheose	ASSNSA
lheosf	APSNSA
lheosm	ACSNSA
lheove	ASWNSA
lheovf	APWNSA
lheovm	ACWNSA
lheþof	APINSD
lheþse	ASSNSD
lheþsf	APSNSD
lheþve	ASWNSD
lheþvf	APWNSD
lheþvm	ACWNSD
lhfeof	APINPG
lhfese	ASSNPG
lhfesf	APSNPG
lhfeve	ASWNPG
lhfevf	APWNPG
lhfevm	ACWNPG
lhfnof	APINPN
lhfnse	ASSNPN
lhfnsf	APSNPN
lhfnve	ASWNPN
lhfnvf	APWNPN
lhfnvm	ACWNPN
lhfoof	APINPA
lhfose	ASSNPA
lhfosf	APSNPA
lhfove	ASWNPA
lhfovf	APWNPA
lhfovm	ACWNPA
lhfþof	APINPD
lhfþse	ASSNPD
lhfþsf	APSNPD
lhfþve	ASWNPD
lhfþvf	APWNPD
lhfþvm	ACWNPD
lkeeof	APIMSG
lkeesf	APSMSG
lkeeve	ASWMSG
lkeevf	APWMSG
lkeevm	ACWMSG
lkenof	APIMSN
lkense	ASSMSN
lkensf	APSMSN
lkenve	ASWMSN
lkenvf	APWMSN
lkenvm	ACWMSN
lkeoof	APIMSA
lkeose	ASSMSA
lkeosf	APSMSA
lkeove	ASWMSA
lkeovf	APWMSA
lkeovm	ACWMSA
lkeþof	APIMSD
lkeþse	ASSMSD
lkeþsf	APSMSD
lkeþve	ASWMSD
lkeþvf	APWMSD
lkeþvm	ACWMSD
lkfeof	APIMPG
lkfese	ASSMPG
lkfesf	APSMPG
lkfeve	ASWMPG
lkfevf	APWMPG
lkfevm	ACWMPG
lkfnof	APIMPN
lkfnse	ASSMPN
lkfnsf	APSMPN
lkfnve	ASWMPN
lkfnvf	APWMPN
lkfnvm	ACWMPN
lkfoof	APIMPA
lkfose	ASSMPA
lkfosf	APSMPA
lkfove	ASWMPA
lkfovf	APWMPA
lkfovm	ACWMPA
lkfþof	APIMPD
lkfþse	ASSMPD
lkfþsf	APSMPD
lkfþsm	ACSMPD
lkfþve	ASWMPD
lkfþvf	APWMPD
lkfþvm	ACWMPD
lveeof	APIFSG
lveese	ASSFSG
lveesf	APSFSG
lveeve	ASWFSG
lveevf	APWFSG
lveevm	ACWFSG
lvenof	APIFSN
lvense	ASSFSN
lvensf	APSFSN
lvenve	ASWFSN
lvenvf	APWFSN
lvenvm	ACWFSN
lveoof	APIFSA
lveose	ASSFSA
lveosf	APSFSA
lveove	ASWFSA
lveovf	APWFSA
lveovm	ACWFSA
lveþof	APIFSD
lveþse	ASSFSD
lveþsf	APSFSD
lveþve	ASWFSD
lveþvf	APWFSD
lveþvm	ACWFSD
lvfeof	APIFPG
lvfese	ASSFPG
lvfesf	APSFPG
lvfeve	ASWFPG
lvfevf	APWFPG
lvfevm	ACWFPG
lvfnof	APIFPN
lvfnse	ASSFPN
lvfnsf	APSFPN
lvfnve	ASWFPN
lvfnvf	APWFPN
lvfnvm	ACWFPN
lvfoof	APIFPA
lvfose	ASSFPA
lvfosf	APSFPA
lvfove	ASWFPA
lvfovf	APWFPA
lvfovm	ACWFPA
lvfþof	APIFPD
lvfþse	ASSFPD
lvfþsf	APSFPD
lvfþsm	ACSFPD
lvfþve	ASWFPD
lvfþvf	APWFPD
lvfþvm	ACWFPD
nhee	SNSG
nhee-s	SNSGP
nheeg	SNSGA
nheegs	SNSGAP
nhen	SNSN
nhen-s	SNSNP
nheng	SNSNA
nhengs	SNSNAP
nheo	SNSA
nheo-s	SNSAP
nheog	SNSAA
nheogs	SNSAAP
nheþ	SNSD
nheþ-s	SNSDP
nheþg	SNSDA
nheþgs	SNSDAP
nhfe	SNPG
nhfe-s	SNPGP
nhfeg	SNPGA
nhfegs	SNPGAP
nhfn	SNPN
nhfn-s	SNPNP
nhfng	SNPNA
nhfngs	SNPNAP
nhfo	SNPA
nhfo-s	SNPAP
nhfog	SNPAA
nhfogs	SNPAAP
nhfþ	SNPD
nhfþ-s	SNPDP
nhfþg	SNPDA
nhfþgs	SNPDAP
nkee	SMSG
nkee-s	SMSGP
nkeeg	SMSGA
nkeegs	SMSGAP
nken	SMSN
nken-s	SMSNP
nkeng	SMSNA
nkengs	SMSNAP
nkeo	SMSA
nkeo-s	SMSAP
nkeog	SMSAA
nkeogs	SMSAAP
nkeþ	SMSD
nkeþ-s	SMSDP
nkeþg	SMSDA
nkeþgs	SMSDAP
nkfe	SMPG
nkfe-s	SMPGP
nkfeg	SMPGA
nkfegs	SMPGAP
nkfn	SMPN
nkfn-s	SMPNP
nkfng	SMPNA
nkfngs	SMPNAP
nkfo	SMPA
nkfo-s	SMPAP
nkfog	SMPAA
nkfogs	SMPAAP
nkfþ	SMPD
nkfþ-s	SMPDP
nkfþg	SMPDA
nkfþgs	SMPDAP
nvee	SFSG
nvee-s	SFSGP
nveeg	SFSGA
nveegs	SFSGAP
nven	SFSN
nven-s	SFSNP
nveng	SFSNA
nvengs	SFSNAP
nveo	SFSA
nveo-s	SFSAP
nveog	SFSAA
nveogs	SFSAAP
nveþ	SFSD
nveþ-s	SFSDP
nveþg	SFSDA
nveþgs	SFSDAP
nvfe	SFPG
nvfe-s	SFPGP
nvfeg	SFPGA
nvfegs	SFPGAP
nvfn	SFPN
nvfn-s	SFPNP
nvfng	SFPNA
nvfngs	SFPNAP
nvfo	SFPA
nvfo-s	SFPAP
nvfog	SFPAA
nvfogs	SFPAAP
nvfþ	SFPD
nvfþ-s	SFPDP
nvfþg	SFPDA
nvfþgs	SFPDAP
nxee	SXSG
nxee-s	SXSGP
nxen	SXSN
nxen-s	SXSNP
nxeng	SXSNA
nxeo	SXSA
nxeo-s	SXSAP
nxeþ	SXSD
nxeþ-s	SXSDP
nxfn	SXPN
nxfo	SXPA
nxfþ	SXPD
sbg2en	VNPS2
sbg2fn	VNPP2
sbm2en	-
sbm2fn	-
sfg1en	VNPS1
sfg1eþ	VNAS1
sfg1fn	VNPP1
sfg1fþ	VNAP1
sfg2en	VNPS2
sfg2eþ	VNAS2
sfg2fn	VNPP2
sfg2fþ	VNAP2
sfg3en	VNPS3
sfg3eþ	VNAS3
sfg3fn	VNPP3
sfg3fþ	VNAP3
sfm1en	VEPS1
sfm1eþ	VEAS1
sfm1fn	VEPP1
sfm1fþ	VEAP1
sfm2en	VEPS2
sfm2eþ	VEAS2
sfm2fn	VEPP2
sfm2fþ	VEAP2
sfm3en	VEPS3
sfm3eþ	VEAS3
sfm3fn	VEPP3
sfm3fþ	VEAP3
slg	VP
sng	VI
snm	-
ssg	-
ssm	-
svg1en	-
svg1eþ	-
svg1fn	-
svg1fþ	-
svg2en	-
svg2eþ	-
svg2fn	-
svg2fþ	-
svg3en	-
svg3eþ	-
svg3fn	-
svg3fþ	-
svm1en	-
svm1eþ	-
svm1fn	-
svm1fþ	-
svm2en	-
svm2eþ	-
svm2fn	-
svm3en	-
svm3eþ	-
svm3fn	-
svm3fþ	-
sþghen	VANSN
sþgheo	VANSA
sþghfn	VANPN
sþghfo	VANPA
sþgken	VAMSN
sþgkeo	VAMSA
sþgkfn	VAMPN
sþgkfo	VAMPA
sþgven	VAFSN
sþgveo	VAFSA
sþgveþ	VAFSD
sþgvfn	VAFPN
sþgvfo	VAFPA
sþgvfþ	VAFPD
sþmhen	-
sþmheo	-
sþmken	-
sþmven	-
ta	NO
tfhee	NCNSG
tfhen	NCNSN
tfheo	NCNSA
tfheþ	NCNSD
tfhfe	NCNPG
tfhfn	NCNPN
tfhfo	NCNPA
tfhfþ	NCNPD
tfkee	NCMSG
tfken	NCMSN
tfkeo	NCMSA
tfkeþ	NCMSD
tfkfe	NCMPG
tfkfn	NCMPN
tfkfo	NCMPA
tfkfþ	NCMPD
tfvee	NCFSG
tfven	NCFSN
tfveo	NCFSA
tfveþ	NCFSD
tfvfe	NCFPG
tfvfn	NCFPN
tfvfo	NCFPA
tfvfþ	NCFPD
to	NR
tp	NP
v	W
x	X
{	{
|	|
}	}
~	~
«	«
°	°
²	²
´	´
·	·
»	»
# manual additions
lo	AI
afm	DCG
af	DG
afe	DSG
pk	KC
pl	KE
pa	KO
pq	KQ
m	M
tf	NC
nx	SX
nxs	SXP
ks	TS
at	TT
lvfosm	ACSFPA
lvfnsm	ACSFPN
lveosm	ACSFSA
lveþsm	ACSFSD
lvensm	ACSFSN
lkfosm	ACSMPA
lkfnsm	ACSMPN
lkeosm	ACSMSA
lkeþsm	ACSMSD
lkensm	ACSMSN
lhfosm	ACSNPA
lhfþsm	ACSNPD
lhfnsm	ACSNPN
lheþsm	ACSNSD
sþgkfþ	VAMPD
sþgkeþ	VAMSD
sþghfþ	VANPD
sþgheþ	VANSD
snm	VE
sbgf	VMP
sbge	VMS
