
!	.
"	"
Andliti	N-D
Andrias	NPR-A
Andrias	NPR-N
Andriasar	NPR-G
Annan	OTHER-A
Annar	OTHER-N
Annas	NPR-N
Annasar	NPR-G
Annað	OTHER-A
Antiokíu	NPR-D
Antiokíu	NPR-G
Antiókiu	NPR-G
Appollóniu	NPR-G
Aram	NPR-A
Aram	NPR-N
Arbeiðari	N-N
Arbeiðið	VBI
Archelaus	NPR-N
Areopagos	NPR-A
Areopagos	NPR-D
Argilsi	NS-A
Arimateu	NPR-D
Asa	NPR-A
Asa	NPR-N
Asdod	NPR-D
At$	RP
Aten	NPR-D
Aten	NPR-G
Atenmenn	NPRS-N
Atenmenn	NS-N
Attaliu	NPR-G
Attartala	NS-G
Aui	N-D
Av	P
Avkom	N-N
Azor	NPR-A
Azor	NPR-N
Aðrir	OTHERS-N
Babylóniska	ADJ-A
Babylónisku	ADJ-A
Bakka$	N-D
Bar-Jesus	NPR-A
Barabbas	NPR-G
Barabbasi	NPR-D
Barbal	NPR-N
Barmhjartigheit	N-A
Barmhjartigu	ADJ-N
Barn	N-A
Barn$	N-A
Barn$	N-D
Barn$	N-N
Barn$	NPR-A
Barnabas	NPR-A
Barnabas	NPR-N
Barnabasar	NPR-G
Barnabasi	NPR-D
Barsabbas	NPR-N
Bartolomeus	NPR-N
Basúnu	N-A
Batning	N-A
Beelzebul	NPR-A
Befalning	N-A
Befalning$	N-A
Behagiligheit	N-A
Beiggi	N-N
Beiggi	NPR-N
Beiggja	N-A
Beiggja	N-D
Beiggjar	NS-A
Beiggjar	NS-N
Beiggjum	NS-D
Bein	N-N
Beint	FP
Beltum	NS-D
Benjamins	NPR-G
Berið	VBI
Beröu	NPR-D
Beröu	NPR-G
Besett	VAN-A
Besettir	VAN
Besettu	VAN-D
Besettur	VAN
Besætt	VBN
Betesda	NPR-N
Bethlehem	NPR-D
Bethlehem	NPR-G
Bethlehem	NPR-N
Bethsaida	NPR-N
Betlehem	NPR-D
Betsajdu	NPR-D
Betánia	NPR-N
Betániu	NPR-D
Betániu	NPR-G
Betýniu	NPR-G
Beyri	N-D
Bil$	N-A
Bingi	N-D
Biti	N-D
Biðið	VBI
Biðja	VBPI
Bjálk$	N-A
Bjálki	N-N
Bjálva	N-D
Björg	N-A
Björg$	N-D
Blastus	NPR-A
Blind	ADJ-N
Blindi	ADJ-N
Blindir	ADJ-N
Blindu	ADJ-N
Blóðflóð$	N-A
Booz	NPR-A
Booz	NPR-N
Borðs	N-G
Boðum	NS-D
Breyð	N-A
Breyð	N-N
Breyði	N-D
Bræv	N-A
Brótið	VBI
Bróðir	N-N
Bróður	N-A
Bróður	N-N
Bröður	N-N
Bröður	NPR-A
Bröður	NS-A
Bröður	NS-N
Brúdleypsgestar$	NPRS-N
Brúðgóm$	N-N
Brúðgómur$	N-N
Burtur	ADV
Bylgju$	NS-D
Byrða	N-N
Byttur	NS-A
Bábylon	NPR-A
Bæði	CONJ
Bíling	N-A
Bílingum	NS-D
Bíða	VBI
Bók	N-N
Bókstavur	N-N
Bót	N-A
Bót$	N-N
Bön	N-A
Bönafólk$	N-N
Bönamenn	NS-A
Bönir	NPR-N
Börn	NS-A
Börn	NS-N
Börn$	NS-N
Börnum	NS-D
Búk$	N-D
Búnan	N-A
Bústaður	NPR-N
Býlingar	NS-A
Cananitar$	NPR-N
Capernau	NPR-N
Capernaum	NPR-A
Capernaum	NPR-D
Capitule	N-N
Capitule	NPR-N
Chorazin	NPR-N
Christus	NPR-N
Christussa	NPR-G
Dag	N-A
Dag$	N-A
Dagar	NS-A
Dagar	NS-N
Dagur	N-N
Damaris	NPR-N
Damaskus	NPR-A
Damaskus	NPR-D
Damaskus	NPR-G
Decapolis	NPR-D
Degi	N-D
Derbe	NPR-A
Derbe	NPR-G
Devel$	NPR-A
Devel$	NPR-N
Devl$	NPR-D
Devl$	NS-G
Devlar	NS-A
Devlar$	NS-N
Deyv	ADJ-N
Deyð	NS-N
Deyð$	N-G
Deyða	N-G
Deyðu	ADJ-A
Didymos	NPR-N
Dionýsius	NPR-N
Disciplar	NPR-N
Disciplar	NS-A
Disciplar	NS-N
Disciplar$	NS-N
Disciplum	NS-D
Discipul	N-N
Discipul$	N-A
Discipul$	N-N
Dou	ADV
Doypar$	N-G
Doypar$	N-N
Doypari	N-N
Dreymi	N-D
Dreymi	NPR-D
Drotning$	N-N
Dug$	N-A
Dumb$	N-A
Dummi	ADJ-N
Duratern$	N-N
Dári	N-N
Dáva	NPR-G
Dávid	NPR-A
Dávid	NPR-D
Dávid	NPR-N
Dávids	NPR-G
Dávu	NPR-G
Dávur	NPR-N
Dóm$	N-D
Dómadegi	N-D
Dómadegi	NPR-D
Dómar$	N-D
Dómar$	N-N
Dómarar	NS-N
Dómfeldi	VBDI
Dómi	N-D
Dóps	NPR-G
Dóttir	N-N
Dóttur	N-A
Dóttur$	N-A
Dögum	NS-D
Dömir	VBPI
Dömið	VBI
Dúgvu	N-A
Dúgvur	NS-N
Dýrdar$	N-G
Efraim	NPR-N
Eftir	P
Eg	PRO-N
Eginskálkar	NS-N
Eginskálkur	N-N
Egna	ADJ-A
Egypt$	NPR-A
Egypt$	NPR-D
Egyptaland	NPR-A
Egyptalandi	NPR-D
Egyptalands	NPR-G
Egyptalandskong$	NPR-D
Egyptum	NPRS-D
Ein	ONE-A
Ein	ONE-N
Eina	ONE-A
Eingil	N-A
Eingil	N-N
Eingil	NPR-N
Eingin	Q-N
Einglar	NS-A
Einglar$	NS-N
Einhvör	ONE+Q-N
Einki	Q-A
Einki	Q-N
Eins	ADV
Eins	ADVR
Eisini	ALSO
Eitt	ONE-A
Eitt	ONE-N
Eitur	VBPI
Eið	N-A
Eiðir	NS-A
Ekta	N-G
Elamitar	NPRS-N
Eld	N-A
Eld$	N-A
Eld-Ovn$	N-A
Eldi	N-D
Eleazar	NPR-A
Eleazar	NPR-N
Elia	NPR-N
Eliakim	NPR-A
Eliakim	NPR-N
Elias	NPR-N
Eliud	NPR-A
Eliud	NPR-N
Ella	CONJ
Ellar	CONJ
Elska	VBPI
Elskar	VBPI
Elskaðu	VBDI
Elskeligi	ADJ-N
Elymas	NPR-N
Enda	N-A
Enda	N-G
Endi	N-N
Eneas	NPR-A
Eneas	NPR-N
Enn	ADV
Enn	ADVR
Ennistaður$	NPR-N
Er	BEPI
Eri	BEPI
Ert	BEPI
Eru	BEPI
Esaias	NPR-N
Esaisse	NPR-D
Esajasi	NPR-D
Esajassa	NPR-G
Esrom	NPR-A
Esrom	NPR-N
Eta	VBPI
Etiópiu	NPR-D
Etiópiumanna	NPRS-G
Evangelium	N-A
Evangelium	NPR-N
Evigheit	N-D
Eyg$	N-N
Eyg$	NS-A
Eyg$	NS-D
Eyg$	NS-N
Eyga	N-A
Eyga	N-D
Eyga	N-N
Eyga$	N-D
Eygir	NS-N
Eygum	NS-D
Eystan	ADV
Eystri	N-D
Eysturlandi	NPR-D
Ezechias	NPR-A
Ezechias	NPR-N
Fall$	N-N
Fangahús$	N-A
Fangavaktar$	NPR-N
Far	VBI
Farisear$	NPRS-D
Farisear$	NPRS-G
Farisear$	NPRS-N
Fariseara	NPRS-G
Fariseara$	NPRS-G
Fariseara$	NS-G
Farisearar	NPRS-A
Farisearar$	NPRS-A
Farisearar$	NPRS-N
Fariseari	NPR-N
Farisearu$	NPRS-D
Farisearu$	NS-D
Farið	VBI
Faðir	N-A
Faðir	N-G
Faðir	N-N
Faðir	NPR-A
Faðir	NPR-N
Faðir$	N-A
Faðir$	N-D
Faðir$	NPR-N
Faðiri	N-D
Faðiri	NPR-D
Faðirs	N-G
Feber$	N-N
Febir	N-A
Fedrar	NS-N
Fellur	VBPI
Ferðast	VBPI
Fik$	N-A
Filippi	NPR-G
Filippus	NPR-A
Filippus	NPR-N
Filippusar	NPR-G
Filippusi	NPR-D
Fisk	N-A
Fiskarir	NS-N
Fjall	N-A
Fjalli	N-D
Fjör$	N-A
Flindr$	N-A
Flyt	VBI
Fold	ADJ-N
Foldum	NS-D
Fongsil	N-A
Foreldr$	NS-D
Foreldur	NS-N
Forfylgilsi	N-A
Forfylgilsi	N-N
Forkómilsi	N-A
Fornu	ADJ-D
Forráð	N-A
Forráði	N-D
Frið	N-A
Friðarligu	ADJ-N
Friður	N-N
Friður	NPR-N
Frugtir	NS-A
Frukt	N-A
Frukt	N-N
Frukt$	NS-D
Fruktir	NS-A
Fruktum	NS-D
Frá	P
Frátsari	N-N
Fræ	NS-N
Frækorn	N-A
Frækorn$	N-A
Frækorn$	N-N
Frísku	ADJ-N
Frístar$	N-N
Frístilsi	N-A
Frýgíu	NPR-A
Frýgíu	NPR-D
Fuglar	NS-N
Fuglum	NS-D
Fylg	VBI
Fylgi	N-N
Fyllið	VBI
Fyri	P
Fyrsta	ADJS-N
Fyrstar	NS-A
Fyrsti	N-N
Fyrstum	NS-D
Fá	Q-N
Fáið	VBI
Fár	N-A
Fár$	N-D
Fárao	NPR-D
Fárao	NPR-N
Fáraos	NPR-G
Fátækum	ADJ-D
Fær	VBPI
Fígginda	N-A
Fíggindar	NS-A
Fíggindar	NS-N
Fíggindi	N-N
Fólk	N-A
Fólk	N-N
Fólk$	N-A
Fólk$	N-D
Fólk$	N-N
Fólk$	NPR-N
Fólka	NPRS-G
Fólki	N-D
Fólki	NPR-D
Fólkis	N-G
Fót$	N-A
Fóta-Skammil	N-N
Fótum	NS-D
Födsuli	N-D
Fögrudyr	NPR-A
Fögrudyr	NPR-N
Fönikíu	NPR-A
Fönikíu	NPR-G
Fördu	VBDI
Föði	N-A
Föðipláss	N-A
Föðiplássi	N-D
Gabbata	NPR-N
Gailarhornu$	NS-D
Galataland	NPR-A
Galilea	NPR-A
Galilea	NPR-D
Galilea	NPR-G
Galilea	NPR-N
Galileiska	ADJ-D
Galileu	NPR-A
Galileu	NPR-D
Galileu	NPR-G
Galileumenn	NPRS-N
Galileuvatn$	NPR-A
Gamaliel	NPR-N
Gamalt	ADJ-A
Gangið	VBI
Gasa	NPR-G
Gat$	NS-D
Geilum	NS-D
Gent$	N-N
Ger	DOI
Gera	DOPI
Gergesenara	NPRS-G
Geri	DOPI
Gerið	DOI
Gev	VBI
Gevið	VBI
Gjörningar	NS-A
Gjörningar	NS-N
Gleði	N-D
Gleðið	VBI
Golgata	NPR-N
Gongur	VBPI
Grannalag	N-D
Granska	VBI
Gras$	N-A
Grashoppar	NS-A
Greinu$	NS-D
Greiði	N-A
Gremj$	N-N
Gremjið	VBI
Grendum	NS-D
Grikka	NPRS-G
Grikkar	NPRS-A
Grikkar	NPRS-N
Grikki	NPR-N
Grikkum	NPRS-D
Grun	N-A
Grund	N-N
Grátur	N-N
Gróður$	N-N
Grösum	NS-D
Gröv	N-A
Gröv$	NS-D
Gud	NPR-A
Gud	NPR-N
Gudar$	NS-N
Gudi	NPR-D
Gudi	NPR-G
Guds	NPR-G
Gull	N-A
Guð	NPR-A
Guð	NPR-N
Guði	NPR-D
Guðs	NPR-G
Guðslamb$	NPR-A
Gyrð	VBI
Gáv$	N-A
Gávu	N-A
Gávur	NS-A
Gætur	NS-A
Gómorita	NPR-G
Góð	ADJ-A
Góða	ADJ-A
Góða	ADJ-D
Góðu	ADJ-N
Góðum	ADJ-D
Göt$	N-A
Göt$	N-N
Götur	NS-A
Hagar	ADV
Hakeldama	NPR-N
Halda	VBPI
Halga	VBI
Halgan	ADJ-D
Han$	N-N
Hann	PRO-A
Hann	PRO-N
Hansara	PRO-G
Har	ADV
Har$	ADV
Harligheit	N-D
Harligheit	N-N
Harligheit	NS-A
Harr$	N-A
Harr$	N-N
Harr$	NPR-A
Harr$	NPR-D
Harr$	NPR-G
Harr$	NPR-N
Harra	N-A
Harra	NPR-G
Harra$	NPR-D
Harra$	NPR-G
Harrar	NS-N
Harri	N-N
Harri	NPR-N
Harrum	NS-D
Hav$	N-A
Hava	HVPI
Havi	HVPI
Hebrearum	NPRS-D
Heidning$	NS-D
Heidning$	NS-G
Heidninga	NS-G
Heidningar$	NS-N
Heidningu$	NS-D
Heilagi	ADJ-N
Heiliga	ADJ-A
Heilir	ADJ-N
Heilur	ADJ-N
Heim	N-A
Heimeligheitir	NS-A
Heims$	N-G
Hell$	N-D
Hellenistar	NPR-A
Hellenistar$	NPRS-A
Hellu	N-A
Hellu	N-D
Helviti	NPR-A
Helviti	NPR-D
Helvitis	NPR-G
Hemors	NPR-G
Henda	D-A
Henda	D-N
Hentið	VBI
Her	ADV
Her$	ADV
Hermenn$	NPRS-N
Hermes	NPR-A
Herodissa	NPR-G
Herra	N-D
Heródes	NPR-G
Heródes	NPR-N
Heródesar	NPR-G
Heródis	NPR-G
Heródis	NPR-N
Heródissa	NPR-G
Hesa	D-A
Hesar	D-A
Hesi	D-A
Hesin	D-N
Hesir	D-N
Hestvinning$	N-N
Hetta	D-A
Hetta	D-N
Hetta	PRO-N
Hevur	HVPI
Hevði	HVDI
Heystar	NPR-G
Higar$	ADV
Himl$	NPRS-D
Himl$	NS-D
Himlar$	NPRS-N
Himlu$	NPRS-D
Himlu$	NS-D
Himmal$	NPR-A
Himmal$	NPR-D
Himmal$	NPR-G
Himmal$	NPR-N
Himmals	NPR-G
Himmiríkis	NPR-G
Hin	D-N
Hind$	NPR-N
Hinir	D-N
Hirðar$	NS-N
Hitt	D-A
Hitt	D-N
Hjart$	N-D
Hjarta	N-A
Hjarta	N-D
Hjarta	N-N
Hjarta	NPR-N
Hjarta$	N-D
Hjörtum	NS-D
Hol$	N-N
Holur	NS-A
Hon	PRO-N
Hond	N-A
Hond	N-D
Hond	N-N
Hond	NPR-A
Hond$	N-A
Hond$	N-N
Hond$	NS-D
Honum	PRO-D
Hor	N-A
Hor	N21
Hosianna	FW
Hoyrið	VBI
Hug	N-A
Hugsið	VBI
Hundum	NS-D
Hunning	N-A
Hurð$	N-A
Hvala	N-G
Hvar	WADV
Hvat	WD-A
Hvat	WPRO-A
Hvat	WPRO-N
Hvat$	WPRO-A
Hvaðan	WADV
Hvaðani	WADV
Hveit$	N-A
Hveiti	N-D
Hvirlur	NS-N
Hvis$	WQ
Hvussu	WADV
Hví	WADV
Hvílu	N-A
Hvönn	WPRO-A
Hvör	Q-N
Hvör	WPRO-N
Hvör$	WPRO-N
Hvörja	WD-A
Hvörjum	WPRO-D
Hvörki	CONJ
Hvörki	CONJ-1
Hvört	Q-N
Hygg	VBI
Hyggið	VBI
Há	N-A
Hár	N-A
Hár$	NS-N
Hópar	NS-A
Hödd	N-A
Hövd	N-A
Hövdi	N-D
Hövdu	HVDI
Hövidsmaður	N-N
Hövudsmann$	N-A
Hövudsmaður$	N-N
Hövur	N-A
Hövuðsprestar$	NS-N
Hövuðsprestur$	N-N
Hú	N-A
Hús	N-A
Hús	N-N
Hús$	N-A
Hús$	N-D
Húsbónd$	N-G
Húsbónd$	NPR-A
Húsbóndi	N-N
Húsfolk	NS-N
Húsfólk	N-A
Húsi	N-D
Hústrú	N-D
Hústrú	NPR-D
Húsum	NS-D
Ikki	NEG
Ikonium	NPR-D
Ikonium	NPR-G
Ikonium	NS-D
Illa	ADV
Illmenn$	N-N
Illmenni	N-N
Ilskist	VBI
Immanuel	NPR-N
Iskariot	NPR-N
Iskarjot	NPR-D
Iskarjot	NPR-G
Iskarjot	NPR-N
Israel	NPR-D
Israels	NPR-G
Ista	ADJS-N
Isák	NPR-A
Isák	NPR-N
Ja	INTJ
Jacobus	NPR-A
Jason	NPR-A
Jason	NPR-N
Jasoni	NPR-D
Jechonias	NPR-A
Jechonias	NPR-N
Jeremiasse	NPR-D
Jerusalem	NPR-A
Jerusalem	NPR-D
Jerusalem	NPR-G
Jerusalem	NPR-N
Jerúsalem	NPR-A
Jerúsalem	NPR-D
Jerúsalem	NPR-G
Jesai	NPR-A
Jesai	NPR-N
Jesaja	NPR-A
Jesaja	NPR-D
Jesaja	NPR-N
Jesu	NPR-G
Jesus	NPR-A
Jesus	NPR-G
Jesus	NPR-N
Jesusi	NPR-D
Joatham	NPR-A
Joatham	NPR-N
Joppe	NPR-A
Joppe	NPR-D
Joppe	NPR-G
Joram	NPR-A
Joram	NPR-N
Jordan$	NPR-A
Jordan$	NPR-N
Jordani	NPR-D
Juda	NPRS-G
Judas	NPR-A
Judas	NPR-N
Judasi	NPR-D
Judea	NPR-D
Judea	NPR-N
Justus	NPR-N
Jákup	NPR-A
Jákup	NPR-N
Jákupi	NPR-D
Jákups	NPR-G
Jóel	NPR-D
Jóhannes	NPR-A
Jóhannes	NPR-G
Jóhannes	NPR-N
Jóhannesar	NPR-G
Jóhannesarson	NPR-N
Jóhannesi	NPR-D
Jóhannis	NPR-A
Jóhannis	NPR-N
Jóhannissa	NPR-G
Jónas	NPR-N
Jónasar	NPR-G
Jónassa	NPR-G
Jórdan	NPR-A
Jósafat	NPR-A
Jósafat	NPR-N
Jósef	NPR-A
Jósef	NPR-N
Jósefi	NPR-D
Jósefs	NPR-G
Jósias	NPR-A
Jósias	NPR-N
Jósva	NPR-D
Jöd$	NPR-G
Jöd$	NPRS-G
Jöda	NPR-A
Jöda	NPRS-G
Jöda$	NPRS-G
Jödafólk$	NPR-D
Jödafólk$	NPR-N
Jödalandi	NPR-D
Jödar	NPR-A
Jödar	NPRS-G
Jödar	NPRS-N
Jödar$	NPR-A
Jödar$	NPRS-A
Jödar$	NPRS-N
Jödar$	NS-A
Jödaætt	NPR-D
Jödi	NPR-N
Jödu$	NPRS-D
Jödu$	NS-D
Jödum	NPRS-D
Jödum	NS-D
Jörð	N-A
Jörð	N-N
Jörð$	N-A
Jörð$	N-D
Jörð$	N-N
Jú	INTJ
Júda	NPR-A
Júda	NPR-N
Júdas	NPR-N
Júdeu	NPR-A
Júdeu	NPR-D
Júdeu	NPR-G
Júdeulands	NPR-G
Kajfas	NPR-N
Kajfasar	NPR-G
Kajfasi	NPR-D
Kaldealand$	NPR-D
Kamar	N-A
Kamelu-Hári	N-D
Kandake	NPR-D
Kann	MDPI
Kapernaum	N-D
Kapernaum	NPR-D
Kapernaum	NPR-G
Kapp$	N-A
Kappa	N-A
Kappa	N-D
Kappadókíu	NPR-D
Kasta	VB
Kasta	VBI
Kedron	NPR-A
Kefas	NPR-N
Kendu	VBDI
Ker	N-A
Kerald	N-A
Kesareu	NPR-D
Kesareu	NPR-G
Keyp	VBI
Keypmann	N-A
Kilikíu	NPR-A
Kilikíu	NPR-D
Kirkjulið$	NPR-N
Kis	NPR-G
Kjálka	N-A
Kjóla	N-A
Klaudius	NPR-N
Kleopasar	NPR-G
Klint$	N-A
Klint$	N-N
Klintu	N-A
Klædnað	N-A
Klædning	N-A
Klædning$	N-D
Klæð$	NS-N
Klæði	N-D
Klæðir	NS-A
Klæðir	VBPI
Klæðsekk	N-A
Klæðum	NS-D
Kom	VBI
Komi	VBPS
Komið	VBI
Kon$	N-N
Kon$	NPR-N
Kona	N-N
Kong	NPR-A
Kong$	N-D
Kong$	N-G
Konga	NS-G
Kongar	NPR-G
Kongar	NS-A
Kongsmaður$	N-N
Kongur	N-N
Kongur	NPR-N
Kongur$	N-N
Kopar	N-A
Kornelius	NPR-N
Korneliusi	NPR-D
Korngölv	N-A
Kornhús	N-A
Kortini	ADV
Kretoyingar	NPRS-N
Krist	NPR-A
Kristi	NPR-D
Krists	NPR-G
Kristus	NPR-N
Kross	N-A
Krossfest	VBI
Krígsmenn	NS-A
Kundi	MDDI
Kunnu	MDPI
Kvart	N-A
Kvart$	N-A
Kvinna	N-N
Kvinnu	N-D
Kvinnum	NPRS-D
Kvöld$	N-A
Kána	NPR-D
Kána	NPR-G
Kánáan	NPR-A
Kánáanlandi	NPR-D
Káran	NPR-D
Kós	N-A
Kýpern	NPR-D
Kýpern	NPR-G
Kýrene	NPR-A
Kýrene	NPR-D
Kýreneingum	NPRS-D
Land	N-A
Land	N-N
Land	NPR-N
Land$	N-A
Land$	N-N
Landi	N-D
Landi	NPR-D
Lat	VBI
Lata	VBPI
Latið	VBI
Latum	VBI
Lebbeus	NPR-N
Legum$	N-N
Legume	N-A
Legume	N-N
Legumi	N-A
Legumi	N-D
Legums	N-G
Leigusveinur$	N-N
Lendar	NS-A
Levitar	NPR-A
Levitur	NPR-N
Leður-Belti	N-A
Leðurflöskur	NS-A
Leðurflöskur$	NS-N
Libertinum	NPRS-D
Libyubygdu$	NPRS-D
Liggjandaföði	N-A
Lilju$	NS-D
Limum	NS-D
Lið	NS-N
Lið$	NS-N
Ljós	N-A
Ljós	N-N
Ljós$	N-N
Ljósastaka	N-A
Ljósum	NS-D
Loff$	N-N
Loyndum	NS-D
Loys	VBI
Loysið	VBI
Lukíus	NPR-N
Luti	NS-A
Lutir	NS-A
Lutir	NS-N
Lutum	NS-D
Lázarus	NPR-A
Lázarus	NPR-N
Lægjara	N-A
Læra	N-N
Lærdóm	N-A
Lærusveinar	NS-N
Lærusveinar$	NS-N
Lærusveinum	NS-D
Líknilsi	N-A
Líknilsir	NS-A
Líknilsum	NS-D
Lív	N-A
Lív$	N-A
Lív$	N-D
Lív$	N-N
Lívi	N-D
Lóg$	N-A
Lóg$	N-D
Lóg$	N-N
Lónir	NS-A
Lön	N-A
Lön	N-N
Lýdda	NPR-D
Lýdda	NPR-N
Lýdia	NPR-N
Lýdiu	NPR-G
Lýkaóniu	NPR-D
Lýstru	NPR-A
Lýstru	NPR-D
Lýstru	NPR-G
Magdalena	NPR-N
Magt	N-A
Magur	ADJ-N
Makedóniu	NPR-D
Makedóniu	NPR-G
Malkus	NPR-N
Mamma	N-N
Mammoni	NPR-D
Mammu	N-A
Mammu	NPR-A
Man	MDPI
Manaen	NPR-N
Manassa	NPR-A
Manassa	NPR-N
Mangar	Q-A
Mangir	Q-N
Mann	N-A
Mannamúgv$	N-N
Mannaskar$	NPR-N
Mans	N-G
Manst	MDPI
Maria	NPR-N
Mariu	NPR-A
Mariu	NPR-D
Mariu	NPR-G
Mark$	N-D
Markus	NPR-A
Markus	NPR-N
Marta	NPR-N
Marta	NPRS-N
Martu	NPR-A
Martu	NPR-G
Maríu	NPR-D
Mathæussa	NPR-G
Matna	N-G
Matteus	NPR-N
Matthan	NPR-A
Matthan	NPR-N
Mattheus	NPR-N
Matthæus	NPR-N
Mattias	NPR-A
Matur	N-N
Matur$	N-N
Maður	N-N
Maður$	N-N
Medar	NPRS-N
Megi	N-N
Meingerðar	NS-A
Meira	QR-A
Meiri	ADJR-N
Meiri	QR-N
Meistar$	N-D
Meistar$	N-N
Meistara	N-A
Meistari	N-N
Meistari	NPR-N
Men	CONJ
Menn	NS-N
Menn$	NS-N
Menneskj$	NS-N
Mennisk$	NS-N
Menniskj$	N-A
Menniskj$	N-G
Menniskj$	N-N
Menniskj$	NS-D
Menniskj$	NS-N
Menniskja	N-A
Menniskja	N-N
Menniskja$	N-G
Menniskja$	NS-D
Menniskja-Fiskarar	NS-A
Menniskje$	NS-D
Menniskju$	NS-D
Mesopotámiu	NPR-D
Messias	NPR-A
Messias	NPR-N
Meðan	P
Midianslandi	NPR-D
Minni	ADJR-N
Minnist	VBI
Miskunnheit	N-A
Moloks	NPR-G
Mong	Q-A
Mong	Q-N
Mongd	N-N
Morgin	N-A
Morgni	N-D
Morgun$	N-A
Moy	N-N
Munn	N-A
Munnu	MDPI
Myrkr$	N-A
Myrkr$	N-N
Myrkri	N-D
Myrkur	N-N
Myrra	N-A
Mál	N-A
Mál	NS-A
Máli	N-D
Máls	N-G
Mánasjúk	ADJ-N
Mæti	N-A
Míl	N-A
Mínir	PRO-N
Móse	NPR-G
Móselóg	NPR-A
Móselóg	NPR-D
Móselóg	NPR-N
Móses	NPR-A
Móses	NPR-G
Móses	NPR-N
Mósesar	NPR-G
Mósesi	NPR-D
Mósis	NPR-N
Mótstandar$	N-N
Mótstandara	N-D
Móðir	N-A
Móðir	N-N
Móðir$	N-D
Móður	N-N
Mölur	N-N
Mýsiu	NPR-A
Mýsiu	NPR-D
Nakar	Q-N
Nakað	Q-A
Nakað	Q-N
Nakrir	Q-N
Naphthalis	NPR-G
Nasaret	NPR-D
Natanael	NPR-A
Natanael	NPR-N
Navn	N-A
Navn	N-N
Navni	N-D
Navni	NPR-D
Navns	N-G
Nazareari	NPR-N
Nazaret	NPR-D
Nazareth	NPR-D
Nazareth	NPR-N
Neapolis	NPR-G
Nei	INTJ
Nem	VBI
Niger	NPR-N
Nikanor	NPR-A
Nikodemus	NPR-N
Nikolaus	NPR-A
Ninivu	NPR-G
Násson	NPR-A
Násson	NPR-N
Nátt$	N-A
Nær$	ADV
Næsta	ADJS-A
Nætur	NS-A
