Fossavatnsgangan	nvengs
Klöru	nveþ-s
Baldursdóttur	nveþ-s
á	af
Klörubar	nkeþ-s
.	pl

Klara	nven-s
hefur	sfg3en
ásamt	af
spænskum	lkeþsf
eiginmanni	nkeþ
sínum	fekeþ
Francisco	n----s
Casadesús	n----s
rekið	sþghen
Íslendingastaðinn	nkeogs
Cosmos	n----s
eða	c
Klörubar	nkeo-s
undanfarin	lhfosf
22	ta
ár	nhfo
og	c
segir	sfg3en
hún	fpven
að	c
ekkert	fohen
fararsnið	nhen
sé	svg3en
enn	aa
á	af
sér	fpveþ
.	pl

Yndislegt	lhensf
sé	svg3en
að	cn
búa	sng
á	af
Kanaríeyjum	nvfþ-s
þar	aa
sem	c
veðrið	nheng
sé	svg3en
alltaf	aa
eins	aa
og	c
hugur	nken
manns	nkee
,	pk
aldrei	aa
of	aa
heitt	lhensf
og	c
aldrei	aa
of	aa
kalt	lhensf
.	pl

Það	fphen
má	sfg3en
því	aa
skella	sng
skuldinni	nveþg
á	af
veðráttuna	nveog
og	c
loftslagið	nheog
.	pl

Við	fp1fn
hjónin	nhfng
komum	sfg1fþ
hingað	aa
fyrst	aae
í	af
desember	nkeþ
árið	nheog
1973	ta
og	c
ætluðum	sfg1fþ
að	cn
dvelja	sng
hér	aa
í	af
þrjá	tfkfo
mánuði	nkfo
.	pl

Síðan	aa
er	sfg3en
liðið	sþghen
31	ta
ár	nhen
,	pk
sagði	sfg3eþ
Klara	nven-s
í	af
símaspjalli	nheþ
við	af
Ferðablaðið	nheogs
að	af
aflokinni	lveþsf
páskatörninni	nveþg
.	pl

Klörubar	nken-s
er	sfg3en
í	af
Yumbo	n----s
Center	e
,	pk
sem	ct
er	sfg3en
stærsta	lvenve
verslunarmiðstöðin	nveng
á	af
svæðinu	nheþg
.	pl

Síðastliðið	lheosf
haust	nheo
losnaði	sfg3eþ
verslunarpláss	nhen
við	af
hliðina	nveog
á	af
Klörubar	nkeþ-s
og	c
ákvað	sfg3eþ
Klara	nven-s
þá	aa
að	cn
skella	sng
sér	fpveþ
út	aa
í	af
stækkun	nveo
staðarins	nkeeg
.	pl

Stækkunin	nveng
breytir	sfg3en
heilmiklu	lheþsf
fyrir	af
okkur	fp1fo
enda	c
var	sfg3eþ
orðið	sþghen
svolítið	aa
þröngt	lhensf
miðað	sþghen
við	af
allan	fokeo
þann	fakeo
fjölda	nkeo
,	pk
sem	ct
hingað	aa
kemur	sfg3en
.	pl

Ég	fp1en
náði	sfg1eþ
að	cn
stækka	sng
eldhúsið	nheog
um	af
helming	nkeo
sem	ct
gjörbreytir	sfg3en
vinnuaðstöðu	nveþ
starfsfólksins	nheeg
auk	af
þess	fphee
sem	ct
búin	sþghfn
voru	sfg3fþ
til	af
stærri	lhfnvm
snyrtiherbergi	nhfn
og	c
nýr	lkensf
bar	nken
.	pl

Út	aa
úr	af
stækkuninni	nveþg
fékk	sfg1eþ
ég	fp1en
fjörutíu	tfhfo
sæti	nhfo
til	af
viðbótar	nvee
og	c
rúmar	sfg3en
Klörubar	nken-s
nú	aa
um	aa
170	ta
manns	nkee
í	af
sæti	nhfo
með	af
góðu	lheþsf
móti	nheþ
.	pl

Það	fphen
hafa	sfg3fn
þó	aa
aldrei	aa
jafnmargir	lkfnsf
setið	sþghen
til	af
borðs	nhee
hjá	af
mér	fp1eþ
og	c
á	af
páskadagskvöld	nheo
,	pk
en	c
þá	aa
komu	sfg3fþ
205	ta
manns	nkee
í	af
mat	nkeo
og	c
borðuðu	sfg3fþ
af	af
hátíðarmatseðli	nkeþ
,	pk
sem	ct
við	fp1fn
erum	sfg1fn
alltaf	aa
með	aa
á	af
páskum	nkfþ
,	pk
jólum	nhfþ
og	c
áramótum	nhfþ
,	pk
segir	sfg3en
Klara	nven-s
og	c
bætir	sfg3en
við	aa
að	c
hangikjöt	nhen
,	pk
hamborgarhryggur	nken
og	c
heilsteiktar	lvfnsf
nautalundir	nvfn
tilheyri	svg3fn
gjarnan	aa
hátíðarmatseðlunum	nkfþg
.	pl

Sumarfrí	nhen
í	af
maí	nkeþ
og	c
júní	nkeþ
Að	af
sögn	nveþ
Klöru	nvee-s
byrjar	sfg3en
fólk	nhen
að	cn
hringja	sng
og	c
panta	sng
borð	nheo
um	af
hátíðar	nvfo
í	af
júlí	nkeþ
og	c
ágúst	nkeþ
fyrir	af
jól	nhfo
,	pk
áramót	nhfo
og	c
páska	nkfo
um	af
leið	nveo
og	c
Kanaríeyjaferðin	nvengs
er	sfg3en
pöntuð	sþgven
og	c
skipulögð	sþgven
.	pl

Því	aa
er	sfg3en
óhætt	lhensf
að	cn
segja	sng
að	c
færri	lkfnvm
komist	svm3fn
að	aa
en	c
vilja	sfg3fn
í	af
hátíðarmatinn	nkeog
á	af
Klörubar	nkeþ-s
.	pl

Hjá	af
Klöru	nveþ-s
starfa	sfg3fn
fimmtán	tfkfn
starfsmenn	nkfn
,	pk
en	c
nú	aa
líður	sfg3en
að	af
því	fpheþ
að	c
þeir	fpkfn
fái	svg3fn
tveggja	tfkfe
mánaða	nkfe
frí	nheo
enda	c
segist	sfm3en
íslenska	lvenvf
veitingakonan	nveng
ávallt	aa
loka	sng
í	af
maí	nkeþ
og	c
júní	nkeþ
ár	nheo
hvert	foheo
.	pl

Sjálf	fbven
ætla	sfg1en
ég	fp1en
að	cn
byrja	sng
á	af
því	fpheþ
að	cn
fara	sng
í	af
frí	nheo
á	af
meginland	nheo
Spánar	nkee-s
og	c
svo	aa
ætla	sfg1en
ég	fp1en
bara	aa
að	cn
sjá	sng
til	aa
hvað	fsheo
ég	fp1en
geri	sfg1en
við	af
restina	nveog
af	af
fríinu	nheþg
.	pl

Ég	fp1en
hef	sfg1en
svo	aa
ákveðið	sþghen
að	cn
skreppa	sng
heim	aa
til	af
Íslands	nhee-s
í	af
tvær	tfvfo
vikur	nvfo
í	af
júlí	nkeþ
.	pl

Ég	fp1en
hef	sfg1en
ekki	aa
verið	sþghen
mjög	aa
dugleg	lvensf
við	af
að	cn
fara	sng
til	af
Íslands	nhee-s
á	af
síðari	lhfþvm
árum	nhfþ
,	pk
en	c
við	fp1fn
systkinin	nhfng
höfum	sfg1fn
haft	sþghen
það	fpheo
fyrir	af
venju	nveo
að	cn
hittast	snm
annað	foheo
hvert	foheo
ár	nheo
á	af
miðri	lveþsf
leið	nveþ
á	af
Costa	n----s
Brava-ströndinni	nveþgs
rétt	aa
fyrir	af
norðan	aa
Barcelona	n----s
þar	aa
sem	c
við	fp1fn
hjónin	nhfng
bjuggum	sfg1fþ
áður	aa
en	c
við	fp1fn
fluttum	sfg1fþ
til	af
Kanaríeyja	nvfe-s
.	pl

Þá	aa
eigum	sfg1fn
við	fp1fn
voða	nkee
notalega	lkfosf
daga	nkfo
saman	aa
.	pl

join@mbl.is	v

Heimavöllur	nken
knattspyrnuliðsins	nheeg
Real	n----s
Madrid	n----s
,	pk
Bernabeu	n----s
,	pk
getur	sfg3en
verið	sþghen
aðdráttarafl	nhen
fyrir	af
marga	lkfosf
ferðamenn	nkfo
sem	ct
koma	sfg3fn
til	af
Spánar	nkee-s
.	pl

Sama	fbkeo
dag	nkeo
og	c
leikir	nkfn
fara	sfg3fn
fram	aa
er	sfg3en
hægt	lhensf
að	cn
kaupa	sng
miða	nkfo
í	af
VIP-sæti	nhfo-s
og	c
þegar	c
ekki	aa
er	sfg3en
verið	sþghen
að	cn
spila	sng
er	sfg3en
hægt	lhensf
að	cn
fara	sng
í	af
skoðunarferð	nveo
um	af
leikvanginn	nkeog
og	c
snæða	sng
á	af
veitingastað	nkeþ
sem	ct
opnaður	sþgken
verður	sfg3en
í	af
þessum	fakeþ
mánuði	nkeþ
,	pk
að	af
því	fpheþ
er	ct
fram	aa
kemur	sfg3en
í	af
fréttabréfinu	nheþg
Spaniabulletinen	n----s
.	pl

Einnig	aa
er	sfg3en
boðið	sþghen
upp	aa
á	af
dagskrá	nveo
fyrir	af
yngri	lhfovm
lið	nhfo
frá	af
útlöndum	nhfþ
þar	aa
sem	c
liðið	nheng
fær	sfg3en
leiðsögn	nveo
um	af
völlinn	nkeog
og	c
gefst	sfm3en
kostur	nken
á	af
að	cn
æfa	sng
með	af
fyrrum	aa
leikmönnum	nkfþ
Real	n----s
Madrid	n----s
.	pl

Nánari	lvfnvm
upplýsingar	nvfn
á	af
www.realmadrid.es	v

Hvers	fshee
vegna	af
Húnavatnssýslan	nvengs
?	pl

Það	fphen
var	sfg3eþ
útlit	nhen
fyrir	af
að	c
þessa	fakfo
daga	nkfo
yrði	svg3eþ
gott	lhensf
veður	nhen
í	af
Húnavatnssýslunni	nveþgs
svo	aa
við	fp1fn
ákváðum	sfg1fþ
að	cn
fara	sng
þangað	aa
.	pl

Elín	nven-s
er	sfg3en
ákaflega	aa
veðurglögg	lvensf
og	c
veit	sfg3en
því	aa
hvert	aa
er	sfg3en
best	lhense
að	cn
fara	sng
.	pl

Aðstaðan	nveng
á	af
tjaldsvæðinu	nheþg
í	af
Dæli	nheþ-s
í	af
Víðidal	nkeþ-s
er	sfg3en
sérstaklega	aa
góð	lvensf
,	pk
þar	aa
er	sfg3en
skjólgott	lhensf
og	c
svo	aa
eru	sfg3fn
eigendurnir	nkfng
með	af
upphitað	lheosf
þjónustuhús	nheo
með	af
aðstöðu	nveþ
til	af
eldunar	nvee
og	c
borðhalds	nhee
.	pl

Þar	aa
eru	sfg3fn
líka	aa
smáhýsi	nhfn
til	af
leigu	nvee
og	c
gufubað	nhen
er	sfg3en
á	af
tjaldsvæðinu	nheþg
.	pl

Svo	aa
er	sfg3en
endalaust	aa
hægt	lhensf
að	cn
finna	sng
sér	fpkeþ
gönguleiðir	nvfo
og	c
staði	nkfo
til	af
að	cn
skoða	sng
á	af
svæðinu	nheþg
.	pl

Í	af
Hindisvík	nveþ-s
,	pk
sem	ct
er	sfg3en
fremst	aae
á	af
Vatnsnesi	nheþ-s
,	pk
var	sfg3eþ
18	ta
stiga	nhfe
hiti	nken
,	pk
sólskin	nhen
og	c
logn	nhen
á	af
annan	fokeo
sumardag	nkeo
.	pl

Við	fp1fn
ætluðum	sfg1fþ
varla	aa
að	cn
geta	sng
farið	sþghen
þaðan	aa
.	pl

Annars	aa
var	sfg3eþ
hitinn	nkeng
um	aa
12	ta
til	af
15	ta
stig	nhfn
yfir	af
daginn	nkeog
en	c
fór	sfg3eþ
niður	aa
í	af
núllið	nheog
á	af
nóttunni	nveþg
.	pl

Eruð	sfg2fn
þið	fp2fn
búin	lhfnsf
að	cn
fara	sng
víða	aa
?	pl

Við	fp1fn
erum	sfg1fn
farin	sþghfn
að	cn
ferðast	snm
um	af
landið	nheog
á	af
annan	fokeo
hátt	nkeo
en	c
áður	aa
,	pk
við	fp1fn
skoðum	sfg1fn
það	fpheo
í	af
raun	nveþ
og	c
veru	nveþ
með	af
stækkunargleri	nheþ
.	pl

Það	fphen
er	sfg3en
endalaust	aa
hægt	lhensf
að	cn
finna	sng
nýja	lkfosf
staði	nkfo
,	pk
en	c
maður	nken
þarf	sfg3en
oft	aa
að	cn
spyrjast	snm
fyrir	aa
um	af
þá	fpkfo
.	pl

Sem	c
betur	aam
fer	sfg3en
hefur	sfg3en
orðið	sþghen
mikil	lvensf
aukning	nven
í	af
að	cn
merkja	sng
gönguleiðir	nvfo
og	c
gera	sng
kort	nhfo
.	pl

Manni	nkeþ
endist	sfm3en
ekki	aa
ævin	nveng
í	af
að	cn
skoða	sng
þetta	faheo
fallega	lheovf
land	nheo
okkar	fp1fe
.	pl

Ferðist	sfm2fn
þið	fp2fn
alltaf	aa
tvö	tfhfn
saman	aa
?	pl

Litla	lhenvf
ferðafélagið	nheng
er	sfg3en
hópur	nken
af	af
vinafjölskyldum	nvfþ
sem	ct
hefur	sfg3en
ferðast	sþmhen
saman	aa
í	af
25	ta
ár	nhfo
eða	c
lengur	aam
og	c
höfum	sfg1fn
við	fp1fn
verið	sþghen
í	af
því	fpheþ
frá	af
upphafi	nheþ
.	pl

Við	fp1fn
förum	sfg1fn
einnig	aa
hvert	fohen
í	af
sínu	feheþ
lagi	nheþ
og	c
misjafnt	lhensf
hversu	aa
lengi	aa
er	sfg3en
haldið	sþghen
út	aa

Við	fp1fn
hjónin	nhfng
náum	sfg1fn
að	cn
fara	sng
í	af
25	ta
til	af
35	ta
nætur	nvfo
í	af
útilegur	nvfo
á	af
ári	nheþ
.	pl

Fyrir	af
tveimur	tfhfþ
árum	nhfþ
urðu	sfg3fþ
útilegunæturnar	nvfng
42	ta
,	pk
sem	ct
okkur	fp1fþ
þótti	sfg3eþ
afbragð	nhen
.	pl

Í	af
ár	nheo
og	c
í	af
fyrra	lheovm
hófum	sfg1fþ
við	fp1fn
útilegur	nvfo
á	af
sumardaginn	nkeog
fyrsta	lkeove
en	c
oftast	aae
áður	aa
ekki	aa
fyrr	aam
en	c
í	af
maí	nkeþ
.	pl

Vorið	nheng
er	sfg3en
skemmtilegur	lkensf
tími	nken
,	pk
gróðurinn	nkeng
er	sfg3en
að	cn
blómstra	sng
og	c
fuglasöngur	nken
er	sfg3en
í	af
hámarki	nheþ
.	pl

Á	af
haustin	nhfog
er	sfg3en
gaman	nhen
að	cn
fara	sng
út	aa
fyrir	af
upplýst	lheosf
þéttbýlið	nheog
,	pk
sitja	sng
úti	aa
á	af
myrkum	lhfþsf
kvöldum	nhfþ
og	c
skoða	sng
stjörnurnar	nvfog
og	c
norðurljósin	nhfog
.	pl

Fólk	nhen
getur	sfg3en
notið	sþghen
þessara	favfe
tveggja	tfvfe
árstíða	nvfe
miklu	lheþsf
betur	aam
en	c
það	fphen
gerir	sfg3en
.	pl

Útilegutíminn	nkeng
er	sfg3en
í	af
raun	nveþ
fimm	tfkfn
mánuðir	nkfn
.	pl

Eitt	fohen
sem	ct
þarf	sfg3en
að	cn
hafa	sng
í	af
huga	nkeþ
þegar	c
maður	nken
fer	sfg3en
á	af
þessum	fakeþ
árstíma	nkeþ
er	sfg3en
að	cn
hringja	sng
á	aa
undan	af
sér	fpkeþ
því	fpheþ
oft	aa
er	sfg3en
jarðvegurinn	nkeng
svo	aa
blautur	lkensf
að	c
ekki	aa
er	sfg3en
hægt	lhensf
að	cn
hleypa	sng
bílum	nkfþ
og	c
vögnum	nkfþ
inn	aa
á	af
tjaldstæðin	nhfog
.	pl

Maður	nken
verður	sfg3en
að	cn
haga	sng
sér	fpkeþ
eftir	af
veðri	nheþ
og	c
aðstæðum	nvfþ
.	pl

Farið	sfg2fn
þið	fp2fn
þá	aa
ekki	aa
til	af
útlanda	nhfe
á	af
sumrin	nhfog
?	pl

Við	fp1fn
erum	sfg1fn
bæði	c
mjög	aa
hrifin	lhfnsf
af	af
náttúrunni	nveþg
og	c
að	cn
fara	sng
í	af
útilegu	nveo
er	sfg3en
okkar	fp1fe
áhugamál	nhen
yfir	af
sumarið	nheog
.	pl

Þótt	c
það	fphen
sé	svg3en
gaman	nhen
að	cn
vera	sng
erlendis	aa
þá	aa
gætum	svg1fþ
við	fp1fn
ekki	aa
hugsað	sþghen
okkur	fp1fþ
að	cn
vera	sng
neinsstaðar	aa
annarsstaðar	aa
en	c
í	af
íslensku	lheþsf
sumri	nheþ
.	pl

Það	fphen
er	sfg3en
ekkert	fohen
sem	ct
jafnast	sfm3en
á	aa
við	af
það	fpheo
.	pl

Við	fp1fn
höfum	sfg1fn
verið	sþghen
gift	lhfnsf
í	af
38	ta
ár	nhfo
og	c
höfum	sfg1fn
bæði	c
mikinn	lkeosf
áhuga	nkeo
á	af
náttúrunni	nveþg
,	pk
heilsu	nveþ
og	c
hreyfingu	nveþ
.	pl

Fyrirtækið	nheng
sem	ct
við	fp1fn
vinnum	sfg1fn
við	aa
,	pk
Sagamedica-Heilsujurtir	nvfn-s
ehf.	ks
,	pk
tengir	sfg3en
okkur	fp1fo
líka	aa
við	af
náttúruna	nveog
.	pl

En	c
við	fp1fn
framleiðum	sfg1fn
náttúruvörur	nvfo
úr	af
íslenskri	lveþsf
ætihvönn	nveþ
.	pl

Ferðinni	nveþg
er	sfg3en
því	aa
oft	aa
heitið	sþghen
á	af
landsvæði	nhfo
þar	aa
sem	c
hvönnin	nveng
er	sfg3en
mest	lvense
.	pl

Við	fp1fn
hjónin	nhfng
erum	sfg1fn
heppin	lhfnsf
að	cn
geta	sng
stundað	sþghen
áhugamál	nhfo
og	c
vinnu	nveo
saman	aa
.	pl

Hvenær	aa
á	sfg3en
svo	aa
að	cn
fara	sng
næst	aae
í	af
útilegu	nveo
?	pl

Næsta	lvenve
útilega	nven
verður	sfg3en
líklega	aa
um	af
komandi	lveoof
helgi	nveo
.	pl

Við	fp1fn
erum	sfg1fn
byrjuð	sþghfn
að	cn
spá	sng
í	af
veðurfarið	nheog
og	c
ef	c
það	fphen
leyfir	sfg3en
þá	aa
verður	sfg3en
farið	sþghen
,	pk
en	c
það	fphen
verður	sfg3en
að	cn
vera	sng
þurrt	lhensf
og	c
sæmilega	aa
hlýtt	lhensf
.	pl

Það	fphen
eiga	sfg3fn
allir	fokfn
orðið	aa
svo	aa
góð	lhfosf
tæki	nhfo
til	af
að	cn
fara	sng
í	af
útilegu	nveo
og	c
fólk	nhen
á	sfg3en
að	cn
nýta	sng
þau	fphfo
betur	aam
en	c
það	fphen
gerir	sfg3en
.	pl

Svo	aa
er	sfg3en
til	aa
svo	aa
mikið	lhensf
af	af
fallegum	lhfþsf
tjaldstæðum	nhfþ
.	pl

Nú	aa
er	sfg3en
bara	aa
að	cn
vona	sng
að	c
þetta	fahen
verði	svg3en
gott	lhensf
útilegusumar	nhen
og	c
að	c
við	fp1fn
getum	svg1fn
verið	sþghen
í	af
útilegu	nveþ
fram	aa
í	af
september	nkeo
eins	aa
og	c
undanfarin	lhfosf
ár	nhfo

Eftir	af
Jóhönnu	nveo-s
Ingvarsdóttur	nveo-s
join@mbl.is	v
Ragnhildur	nven-s
Sophusdóttir	nven-s
er	sfg3en
á	af
29	ta
aldursári	nheþ
.	pl

Ég	fp1en
flutti	sfg1eþ
í	af
Garðabæ	nkeo-s
15	ta
ára	nhfe
og	c
myndi	svg1eþ
segjast	snm
vera	sng
Garðbæingur	nken-s
ef	c
spurð	sþgven
.	pl

Ég	fp1en
myndi	svg1eþ
hvergi	aa
annars	fokee
staðar	nkee
vilja	sng
búa	sng
en	c
í	af
Garðabæ	nkeþ-s
ef	c
ég	fp1en
væri	svg1eþ
á	af
Íslandi	nheþ-s
.	pl

Bærinn	nkeng
er	sfg3en
yndislegur	lkensf
og	c
þar	aa
er	sfg3en
gott	lhensf
fólk	nhen
,	pk
segir	sfg3en
Ragnhildur	nven-s
,	pk
sem	ct
útskrifaðist	sfm3eþ
sem	c
lögfræðingur	nken
frá	af
Háskóla	nkeþ-s
Íslands	nhee-s
í	af
júní	nkeþ
árið	nheog
2003	ta
.	pl

Hún	fpven
starfaði	sfg3eþ
hjá	af
Sýslumanninum	nkeþgs
í	af
Kópavogi	nkeþ-s
frá	af
janúar	nkeþ
2003	ta
til	af
desember	nkee
sama	fbheo
ár	nheo
,	pk
en	c
þá	aa
fluttist	sfm3eþ
hún	fpven
til	af
Mallorka	n----s
.	pl

-	pa
Hvað	fshen
varð	sfg3eþ
til	af
þess	fphee
að	c
þú	fp2en
ákvaðst	sfg2eþ
að	cn
breyta	sng
svona	aa
til	aa
í	af
lífinu	nheþg
?	pl

Ég	fp1en
myndi	svg1eþ
ekki	aa
segja	sng
að	c
ég	fp1en
hafi	svg1en
yfirgefið	sþghen
lögfræðistéttina	nveog
nema	c
tímabundið	aa
.	pl

Mig	fp1eo
hefur	sfg3en
langað	sþghen
að	cn
vera	sng
lögfræðingur	nken
frá	af
12	ta
ára	nhfe
aldri	nkeþ
og	c
efast	sfm1en
um	af
að	c
ég	fp1en
geti	svg1en
verið	sþghen
lengi	aa
frá	af
því	fpheþ
að	cn
stunda	sng
lögfræðistörf	nhfo
.	pl

En	c
ég	fp1en
hef	sfg1en
alltaf	aa
þurft	sþghen
að	cn
hafa	sng
mikið	lheosf
fyrir	af
stafni	nkeþ
og	c
einhver	fohfo
ný	lhfosf
verkefni	nhfo
til	af
að	cn
takast	snm
á	aa
við	aa
.	pl

Aðdragandi	nken
þess	fphee
að	c
ég	fp1en
keypti	sfg1eþ
veitingastað	nkeo
á	af
Spáni	nkeþ-s
er	sfg3en
í	af
raun	nveþ
langur	lkensf
og	c
mætti	svg3eþ
segja	sng
að	c
þetta	fahen
hafi	svg3en
allt	fohen
byrjað	sþghen
árið	nheog
1995	ta
þegar	c
ég	fp1en
og	c
vinkona	nven
mín	feven
Ásdís	nven-s
Björg	nven-s
Pálmadóttir	nven-s
fórum	sfg1fþ
til	af
Mallorka	n----s
að	cn
vinna	sng
á	af
skemmtistað	nkeþ
yfir	af
sumarið	nheog
.	pl

Við	fp1fn
fórum	sfg1fþ
einnig	aa
út	af
sumrin	nhfog
1996	ta
og	c
1997	ta
til	af
að	cn
vinna	sng
á	af
sama	fbkeþ
stað	nkeþ
.	pl

Árin	nhfog
2000	ta
og	c
2001	ta
vann	sfg1eþ
ég	fp1en
síðan	aa
sem	c
fararstjóri	nken
Úrvals-Útsýnar	nveegs
á	af
Mallorka	n----s
og	c
eignaðist	sfm1eþ
góða	lkfosf
vini	nkfo
þar	aa
og	c
fór	sfg1eþ
nokkrum	fohfþ
sinnum	nhfþ
á	af
ári	nheþ
í	af
heimsókn	nveo
.	pl

Það	fphen
má	sfg3en
því	aa
í	af
raun	nveþ
segja	sng
að	c
ég	fp1en
hafi	svg1en
verið	sþghen
með	af
annan	fokeo
fótinn	nkeog
á	af
Mallorka	n----s
síðastliðin	lhfosf
tíu	tfhfo
ár	nhfo
og	c
það	fphen
kom	sfg3eþ
reyndar	aa
engum	fokeþ
á	af
óvart	lheosf
þegar	c
ég	fp1en
sagðist	sfm1eþ
ætla	sng
að	cn
flytjast	snm
út	aa
í	af
nóvember	nkeþ
2003	ta
.	pl

Veitingahúsakaupin	nhfng
komu	sfg3fþ
aftur	aa
á	aa
móti	aa
mörgum	lkfþsf
á	aa
óvart	lheosf
þar	aa
sem	c
ég	fp1en
hafði	sfg1eþ
enga	foveo
reynslu	nveo
af	af
veitingarekstri	nkeþ
og	c
var	sfg1eþ
algjör	lkensf
nýgræðingur	nken
í	af
faginu	nheþg
.	pl

Ætli	svg3en
mér	fp1eþ
hafi	svg3en
ekki	aa
bara	aa
þótt	sþghen
þetta	fahen
nýtt	lhensf
og	c
spennandi	lhenof
verkefni	nhen
til	af
að	cn
takast	snm
á	aa
við	aa
.	pl

Fallegasti	lkenve
staðurinn	nkeng
á	af
eyjunni	nveþg

Restaurant	n----s
Deia	n----s
er	sfg3en
í	af
samnefndum	lkeþsf
bæ	nkeþ
.	pl

Þegar	c
ég	fp1en
var	sfg1eþ
fararstjóri	nken
fór	sfg1eþ
ég	fp1en
nokkrum	fohfþ
sinnum	nhfþ
til	af
Deia	n----s
,	pk
þar	aa
sem	c
bærinn	nkeng
telst	sfm3en
vera	sng
fallegasti	lkenve
staðurinn	nkeng
á	af
eyjunni	nveþg
og	c
alltaf	aa
fékk	sfg1eþ
ég	fp1en
mér	fp1eþ
að	cn
borða	sng
á	af
þessum	fakeþ
veitingastað	nkeþ
þar	aa
sem	c
útsýnið	nheng
af	af
veröndinni	nveþg
er	sfg3en
hreint	aa
stórfenglegt	lhensf
.	pl

Ég	fp1en
tók	sfg1eþ
í	af
mig	fp1eo
að	c
þennan	fakeo
stað	nkeo
yrði	svg1eþ
ég	fp1en
að	cn
eignast	snm
og	c
þá	aa
varð	sfg3eþ
ekki	aa
aftur	aa
snúið	sþghen
.	pl

-	pa
Hvernig	aa
hefur	sfg3en
nýgræðingnum	nkeþg
svo	aa
gengið	sþghen
að	cn
fóta	sng
sig	fpkeo
í	af
spænskum	lkeþsf
veitingahúsarekstri	nkeþ
?	pl

Það	fphen
hefur	sfg3en
gengið	sþghen
mjög	aa
vel	aa
enda	c
hef	sfg1en
ég	fp1en
átt	sþghen
góða	lkfosf
að	aa
sem	ct
hafa	sfg3fn
hjálpað	sþghen
mér	fp1eþ
að	cn
leysa	sng
þau	fahfo
verkefni	nhfo
,	pk
sem	ct
upp	aa
hafa	sfg3fn
komið	sþghen
.	pl

Hjá	af
mér	fp1eþ
starfa	sfg3fn
níu	tfkfn
starfsmenn	nkfn
,	pk
þar	aa
af	aa
fjórir	tfkfn
kokkar	nkfn
,	pk
og	c
nú	aa
sé	sfg1en
ég	fp1en
fram	aa
á	af
stækkun	nveo
staðarins	nkeeg
.	pl

Ég	fp1en
keypti	sfg1eþ
íbúð	nveo
á	af
efri	lveþvm
hæðinni	nveþg
í	af
desember	nkeþ
sl.	ks
og	c
kem	sfg1en
til	aa
með	aa
að	cn
opna	sng
það	faheo
rými	nheo
í	af
næsta	lkeþve
mánuði	nkeþ
.	pl

Ég	fp1en
neita	sfg1en
því	fpheþ
þó	aa
ekki	aa
að	c
þetta	fahen
er	sfg3en
heilmikil	lvensf
vinna	nven
enda	c
er	sfg1en
ég	fp1en
í	af
vinnunni	nveþg
nánast	aae
fjórtán	tfkfo
tíma	nkfo
á	af
dag	nkeo
.	pl

Þetta	fahen
er	sfg3en
