Málverkafölsunarmálið	nheng
og	c
þá	aa
um	af
leið	nveo
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	af
að	cn
setja	sng
niður	aa
listasöguna	nveog
því	fpheþ
þetta	fahen
er	sfg3en
náttúrulega	aa
gríðarlega	aa
umfangsmikið	lhensf
mál	nhen
,	pk
þýðingarmikið	lhensf
,	pk
skiptir	sfg3en
okkur	fp1fo
mjög	aa
miklu	lheþsf
til	af
framtíðar	nvee
.	pl
»	pg

Valgerður	nven-s
:	pa
«	pg
Þannig	aa
að	aa
þó	aa
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	sþghen
þá	fakfo
sem	ct
ákærðir	sþgkfn
voru	sfg3fþ
þá	aa
finnst	sfm3en
þér	fp2eþ
samt	aa
sem	c
áður	aa
að	c
það	fphen
verði	svg3en
að	cn
bregðast	snm
við	aa
?	pl
»	pg

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
:	pa
«	pg
Ja	au
,	pk
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
eru	sfg3fn
fölsuð	lhfnsf
verk	nhfn
í	af
umferð	nveþ
og	c
menningarlega	aa
og	c
menningarsögulega	aa
þá	aa
ber	sfg3en
mér	fp1eþ
í	af
rauninni	nveþg
skylda	nven
til	af
þess	fphee
að	cn
bregðast	snm
við	af
því	fpheþ
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	af
að	cn
meðhöndla	sng
þau	fahfo
verk	nhfo
sem	ct
eru	sfg3fn
í	af
umferð	nveþ
hér	aa
á	af
landi	nheþ
,	pk
þannig	aa
að	c
hvort	c
sem	c
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	sþghen
eða	c
ekki	aa
þá	aa
verðum	sfg1fn
við	fp1fn
að	cn
taka	sng
afstöðu	nveo
hvað	fsheo
við	fp1fn
ætlum	sfg1fn
að	cn
gera	sng
við	af
þessi	fahfo
fölsuðu	lhfovf
verk	nhfo
sem	ct
að	c
eru	sfg3fn
í	af
gangi	nkeþ
hér	aa
á	af
landi	nheþ
.	pl
»	pg

Meirihluti	nken
vill	sfg3en
þjóðaratkvæðagreiðslu	nveo

Sjö	tfkfn
af	af
hverjum	fokeþ
10	ta
landsmanna	nkfe
vilja	sfg3fn
þjóðaratkvæðagreiðslu	nveo
um	af
fjölmiðlafrumvarp	nheo
ríkisstjórnarinnar	nveeg
samkvæmt	af
skoðanakönnun	nveþ
sem	ct
Fréttablaðið	nhengs
birtir	sfg3en
í	af
dag	nkeo
.	pl

Formaður	nken
allsherjarnefndar	nvee
Alþingis	nhee-s
segir	sfg3en
að	c
þessi	faven
mikla	lvenvf
andstaða	nven
komi	svg3en
nokkuð	fohen
á	af
óvart	lheosf
en	c
sjónarmið	nhfn
stjórnarflokkanna	nkfeg
í	af
þessu	faheþ
máli	nheþ
hafi	svg3fn
ekki	aa
notið	sþghen
sannmælis	nhee
.	pl

Spurt	sþghen
var	sfg3eþ
hvort	c
fólk	nhen
teldi	svg3eþ
að	c
forsetinn	nkeng
ætti	svg3eþ
að	cn
neita	sng
að	cn
skrifa	sng
undir	af
fjölmiðlalögin	nhfog
og	c
skjóta	sng
þeim	fphfþ
til	af
þjóðaratkvæðagreiðslu	nvee
.	pl

Sjötíu	tfhen
og	c
eitt	tfhen
prósent	nhen
þeirra	fakfe
sem	ct
afstöðu	nveo
tóku	sfg3fþ
svöruðu	sfg3fþ
því	fpheþ
játandi	aa
en	c
nei	au
sögðu	sfg3fþ
29%	tp
.	pl

Nærri	aa
87%	tp
telja	sfg3fn
að	c
forsetinn	nkeng
hafi	svg3en
vald	nheo
til	af
að	cn
synja	sng
lögum	nhfþ
staðfestingu	nveo
og	c
rúm	lhfnsf
80%	tp
sögðust	sfm3fþ
andvíg	lhfnsf
frumvarpi	nheþ
ríkisstjórnarinnar	nveeg
um	af
eignarhald	nheo
á	af
fjölmiðlum	nkfþ
.	pl

Bjarna	nkeþ-s
Benediktssyni	nkeþ-s
,	pk
formanni	nkeþ
allsherjarnefndar	nvee
kemur	sfg3en
þetta	fahen
nokkuð	fohen
á	af
óvart	lheosf
.	pl

Bjarni	nken-s
Benediktsson	nken-s
,	pk
formaður	nken
allsherjarnefndar	nvee
:	pa
«	pg
Það	fphen
er	sfg3en
visst	lhensf
áhyggjuefni	nhen
fyrir	af
þá	fakfo
sem	ct
standa	sfg3fn
að	af
þessu	faheþ
máli	nheþ
að	c
stuðningurinn	nkeng
skuli	svg3en
ekki	aa
vera	sng
meiri	lkenvm
en	c
raun	nven
ber	sfg3en
vitni	nheo
.	pl

Mér	fp1eþ
finnst	sfm3en
þó	aa
að	c
okkar	fp1fe
sjónarmið	nhfn
hafi	svg3fn
átt	sþghen
mjög	aa
erfitt	lheosf
uppdráttar	nkee
og	c
málið	nheng
hafi	svg3en
nú	aa
verið	sþghen
afflutt	sþghen
af	af
töluverðu	lheþsf
leyti	nheþ
,	pk
það	fphen
er	sfg3en
nú	aa
mín	feven
skoðun	nven
á	af
því	fpheþ
.	pl

Varðandi	slg
þetta	faheo
um	af
forsetann	nkeog
að	c
þá	aa
kemur	sfg3en
það	fphen
mér	fp1eþ
nú	aa
verulega	aa
á	af
óvart	lheosf
að	c
þetta	fahen
hátt	lhensf
hlutfall	nhen
þjóðarinnar	nveeg
sé	svg3en
þeirrar	favee
skoðunar	nvee
að	c
mál	nhfn
af	af
þessu	faheþ
tagi	nheþ
eigi	svg3fn
að	cn
fara	sng
þessa	faveo
leið	nveo
.	pl

Í	af
fyrsta	lheþve
lagi	nheþ
er	sfg1en
ég	fp1en
nú	aa
því	fpheþ
efnislega	aa
ósammála	lkenof
að	c
málið	nheng
sé	svg3en
þannig	aa
vaxið	lhensf
,	pk
en	c
tel	sfg1en
þó	aa
að	c
það	fphen
kannski	aa
fari	svg3en
eitthvað	fohen
saman	aa
við	af
stuðning	nkeo
við	af
málið	nheog
,	pk
þessi	faven
niðurstaða	nven
.	pl

Sérstaklega	aa
kemur	sfg3en
þetta	fahen
mér	fp1eþ
á	af
óvart	lheosf
þegar	c
horft	sþghen
er	sfg3en
til	af
þess	fphee
að	c
löndin	nhfng
í	aa
kringum	af
okkur	fp1fo
hafa	sfg3fn
öll	fohfn
séð	sþghen
ástæðu	nveo
til	af
þess	fphee
að	cn
skipta	sng
sér	fphfþ
af	af
málum	nhfþ
af	af
þessu	faheþ
tagi	nheþ
,	pk
þ.e.a.s.	ks
hvernig	aa
fjölmiðlarnir	nkfng
eru	sfg3fn
,	pk
hvernig	aa
þeir	fpkfn
byggjast	sfm3fn
upp	aa
og	c
hvernig	aa
komið	sþghen
er	sfg3en
í	af
veg	nkeo
fyrir	af
of	aa
mikla	lveosf
samþjöppun	nveo
á	af
því	faheþ
sviði	nheþ
og	c
ég	fp1en
hygg	sfg1en
að	c
þar	aa
hafi	svg3en
nú	aa
verið	sþghen
býsna	aa
langt	lhensf
í	af
það	fpheo
að	c
menn	nkfn
hafi	svg3fn
látið	sþghen
sér	fpkfþ
detta	sng
í	af
hug	nkeo
að	cn
fara	sng
með	af
slíkt	fbheo
fyrir	af
þjóðaratkvæði	nheo
.	pl
»	pg

Valgerður	nven-s
Jóhannsdóttir	nven-s
:	pa
«	pg
Nú	aa
er	sfg3en
þetta	fahen
mál	nhen
á	af
dagskrá	nveþ
þingsins	nheeg
í	af
dag	nkeo
.	pl

Gerir	sfg2en
þú	fp2en
ráð	nheo
fyrir	af
að	c
þetta	fahen
verði	svg3en
að	af
lögum	nhfþ
bara	aa
í	af
lok	nhfo
vikunnar	nveeg
?	pl
»	pg

Bjarni	nken-s
Benediktsson	nken-s
:	pa
«	pg
Ég	fp1en
geri	sfg1en
ráð	nheo
fyrir	af
því	fpheþ
,	pk
já	au
.	pl

Þessi	faven
niðurstaða	nven
breytir	sfg3en
ekki	aa
minni	feveþ
sannfæringu	nveþ
í	af
málinu	nheþg
.	pl
»	pg

Bankarán	nhen

Landsbankaútibúið	nhengs
við	af
Gullinbrú	nveo-s
í	af
Grafarvogi	nkeþ-s
í	af
Reykjavík	nveþ-s
var	sfg3eþ
rænt	sþghen
á	af
11.	ta
tímanum	nkeþg
í	af
morgun	nkeo
.	pl

Ræninginn	nkeng
sem	ct
var	sfg3eþ
vopnaður	lkensf
öxi	nveþ
náðist	sfm3eþ
á	af
hlaupum	nhfþ
í	af
Foldahverfi	nheþ-s
skömmu	lheþsf
eftir	af
ránið	nheog
.	pl

Ræninginn	nkeng
huldi	sfg3eþ
andlit	nheo
sitt	feheo
eftir	af
því	faheþ
sem	ct
næst	aae
verður	sfg3en
komist	sþmhen
.	pl

Hann	fpken
kom	sfg3eþ
inn	aa
í	af
bankann	nkeog
um	af
hálfellefuleytið	nheog
.	pl

5	ta
starfsmenn	nkfn
voru	sfg3fþ
í	af
bankanum	nkeþg
og	c
einn	tfken
viðskiptavinur	nken
og	c
eru	sfg3fn
allir	fokfn
heilir	lkfnsf
á	af
húfi	nkeþ
.	pl

Ræninginn	nkeng
ógnaði	sfg3eþ
starfsfólki	nheþ
með	af
öxinni	nveþg
og	c
hljóp	sfg3eþ
á	aa
brott	aa
með	af
eitthvað	foheo
af	af
peningum	nkfþ
.	pl

Ekki	aa
er	sfg3en
vitað	sþghen
hversu	aa
miklu	lheþsf
hann	fpken
náði	sfg3eþ
.	pl

Viðskiptavinurinn	nkeng
mun	sfg3en
hafa	sng
hlaupið	sþghen
á	aa
eftir	af
ræningjanum	nkeþg
.	pl

Lögregla	nven
var	sfg3eþ
skjót	lvensf
á	af
staðinn	nkeog
og	c
náði	sfg3eþ
ræningjanum	nkeþg
þar	aa
sem	c
hann	fpken
var	sfg3eþ
á	af
hlaupum	nhfþ
í	af
Foldahverfi	nheþ-s
öxin	nveng
fannst	sfm3eþ
við	af
Frostafold	nveo-s
.	pl

Ræninginn	nkeng
er	sfg3en
nú	aa
í	af
haldi	nheþ
lögreglu	nvee
og	c
bíður	sfg3en
yfirheyrslu	nvee
.	pl

Hann	fpken
er	sfg3en
á	af
þrítugsaldri	nkeþ
og	c
hefur	sfg3en
áður	aa
komið	sþghen
við	af
sögu	nveo
lögreglu	nvee
,	pk
m.a.	ks
vegna	af
auðgunarbrota	nhfe
.	pl

Lögreglan	nveng
útilokar	sfg3en
ekki	aa
að	c
ræninginn	nkeng
eigi	svg3en
sér	fpkeþ
vitorðsmenn	nkfo
.	pl

Starfsfólkið	nheng
þiggur	sfg3en
nú	aa
áfallahjálp	nveo
hjá	af
sálfræðingum	nkfþ
.	pl

Litlar	lvfnsf
skemmdir	nvfn
virðast	sfm3fn
hafa	sng
orðið	sþghen
á	af
bankaútibúinu	nheþg
sem	ct
verður	sfg3en
lokað	sþghen
það	faheo
sem	ct
eftir	aa
lifir	sfg3en
dags	nkee
.	pl

Reglur	nvfn
um	af
umboðsmann	nkeo
Alþingis	nhee-s

Umboðsmaður	nken
Alþingis	nhee-s
ætlar	sfg3en
að	cn
taka	sng
saman	aa
og	c
kynna	sng
af	af
sinni	feveþ
hálfu	nveþ
reglur	nvfn
sem	ct
hann	fpken
óskar	sfg3en
eftir	aa
að	c
gildi	svg3en
um	af
samskipti	nhfo
hans	fpkee
og	c
stjórnvalda	nhfe
.	pl

Þetta	fahen
kom	sfg3eþ
fram	aa
á	af
fundi	nkeþ
sem	ct
umboðsmaður	nken
átti	sfg3eþ
með	af
forseta	nkeþ
og	c
varaforseta	nkeþ
Alþingis	nhee-s
í	af
morgun	nkeo
.	pl

Tilefni	nhen
fundarins	nkeeg
var	sfg3eþ
samtal	nhen
sem	ct
Davíð	nken-s
Oddsson	nken-s
,	pk
forsætisráðherra	nken
átti	sfg3eþ
við	af
umboðsmann	nkeo
4.	ta
maí	nkeo
síðast	aae
liðinn	lkeosf
um	af
álit	nheo
umboðsmanns	nkee
um	af
skipan	nveo
hæstaréttardómara	nkfe
.	pl

Gert	sþghen
er	sfg3en
ráð	nhen
fyrir	af
að	c
skýrt	aa
komi	svg3en
fram	aa
í	af
samskiptareglum	nvfþ
stjórnvalda	nhfe
og	c
umboðsmanns	nkee
hver	fsken
eigi	svg3en
að	cn
hafa	sng
frumkvæði	nheo
að	af
samskiptum	nhfþ
og	c
hvert	fshen
form	nhen
þeirra	fphfe
eigi	svg3en
að	cn
vera	sng
.	pl

Vís	n-en-s
kaupir	sfg3en
Lyfju	nveo-s

Vátryggingafélag	nhen-s
Íslands	nhee-s
hefur	sfg3en
keypt	sþghen
lyfsölukeðjuna	nveog
Lyfju	nveo-s
af	af
Högum	nkfþ-s
,	pk
verslanakeðju	nveþ
Baugs	nkee-s
.	pl

Lyfja	nven-s
rekur	sfg3en
34	ta
apótek	nhfo
um	af
allt	foheo
land	nheo
undir	af
merkjum	nhfþ
Lyfju	nvee-s
og	c
Apóteksins	nheegs
.	pl

Vátryggingafélagið	nhengs
ætlar	sfg3en
ekki	aa
að	cn
leggja	sng
fram	aa
hærri	lveovm
upphæð	nveo
en	c
500	ta
milljónir	nvfo
króna	nvfe
í	af
Lyfju	nveo-s
.	pl

Afgangur	nken
kaupverðsins	nheeg
kemur	sfg3en
frá	af
öðrum	fokfþ
fjárfestum	nkfþ
.	pl

Finnur	nken-s
Ingólfsson	nken-s
,	pk
forstjóri	nken
fyrirtækisins	nheeg
segir	sfg3en
það	fpheo
trúnaðarmál	nheo
að	af
svo	aa
stöddu	lheþsf
hvaða	fskfn
fjárfestar	nkfn
séu	svg3fn
þar	aa
á	af
ferð	nveþ
.	pl

Vátryggingafélagið	nhengs
átti	sfg3eþ
fyrir	aa
stóran	lkeosf
hlut	nkeo
í	af
Samkaupum	nhfþ-s
og	c
er	sfg3en
því	aa
orðið	sþghen
fyrirferðamikið	lhensf
á	af
smásölumarkaði	nkeþ
.	pl

Jón	nken-s
Björnsson	nken-s
,	pk
forstjóri	nken
Haga	nkfe-s
,	pk
segir	sfg3en
að	c
frá	af
sínum	fekeþ
sjónarhól	nkeþ
sé	svg3en
salan	nveng
ekki	aa
tilkomin	sþgven
vegna	af
stefnu	nvee
Baugs	nkee-s
um	af
að	cn
losa	sng
sig	fpkeo
við	af
eignir	nvfo
hér	aa
á	af
landi	nheþ
og	c
einbeita	sng
sér	fpkeþ
að	af
fjárfestingum	nvfþ
erlendis	aa
.	pl

Jón	nken-s
Björnsson	nken-s
,	pk
forstjóra	nkeþ
Haga	nkfe-s
:	pa
«	pg
Ég	fp1en
get	sfg1en
að	af
sjálfsögðu	lheþsf
ekki	aa
svarað	sþghen
fyrir	aa
um	af
fyriráætlanir	nvfo
Baugs	nkee-s
en	c
ég	fp1en
lít	sfg1en
svo	aa
á	af
að	c
hvað	fshen
Haga	nkfo-s
varðar	sfg3en
þá	aa
er	sfg3en
þetta	fahen
bara	aa
viðskiptalegs	lheesf
eðlis	nhee
algjörlega	aa
.	pl

Kaupverðið	nheng
er	sfg3en
trúnaðarmál	nhen
en	c
tilboðið	nheng
var	sfg3eþ
gott	lhensf
og	c
styrkir	sfg3en
okkar	fp1fe
efnahagsreikning	nkeo
og	c
það	fphen
er	sfg3en
í	af
raun	nveþ
og	c
veru	nveþ
grundvöllur	nken
þessarar	favee
sölu	nvee
.	pl
»	pg

Guðmundur	nken-s
Hörður	nken-s
Guðmundsson	nken-s
:	pa
«	pg
Má	sfg3en
búast	snm
við	af
frekari	lveþvm
sölu	nveþ
hjá	af
ykkur	fp2fþ
á	af
næstunni	nveþg
?	pl
»	pg

Jón	nken-s
Björnsson	nken-s
:	pa
«	pg
Þú	fp2en
verður	sfg2en
að	cn
spyrja	sng
eigendur	nkfo
félagsins	nheeg
að	af
því	faheþ
sem	ct
eru	sfg3fn
fjölmargir	lkfnsf
en	c
ég	fp1en
á	sfg1en
ekki	aa
von	nveo
á	af
því	fpheþ
.	pl
»	pg

Hagar	nkfn-s
eiga	sfg3fn
enn	aa
um	aa
65	ta
verslanir	nvfo
hér	aa
á	af
landi	nheþ
og	c
í	af
Svíþjóð	nveþ-s
.	pl

Þar	aa
á	aa
meðal	aa
Hagkaup	nhfo-s
,	pk
Bónus	nkeo-s
,	pk
10-11	ta
og	c
ýmsar	fovfo
tískuvöruverslanir	nvfo
.	pl

Í	af
fréttatilkynningu	nveþ
frá	af
Högum	nkfþ-s
segir	sfg3en
að	c
félagið	nheng
geti	svg3en
nú	aa
einbeitt	sþghen
sér	fpheþ
enn	aa
frekar	aam
að	af
rekstri	nkeþ
þessara	favfe
verslana	nvfe
og	c
að	c
nú	aa
sé	svg3en
það	fphen
betur	aam
í	af
stakk	nkeo
búið	lhensf
til	af
að	cn
takast	snm
á	aa
við	af
framtíðaruppbyggingu	nveo
.	pl

Fölsuð	lhfnsf
málverk	nhfn
í	af
umferð	nveþ

Menntamálaráðherra	nken
segir	sfg3en
óumdeilt	lheosf
að	c
fölsuð	lhfnsf
málverk	nhfn
séu	svg3fn
í	af
umferð	nveþ
hér	aa
á	af
landi	nheþ
og	c
við	af
því	fpheþ
verði	svg3en
að	cn
bregðast	snm
.	pl

Rannsókn	nven
ríkislögreglustjóraembættisins	nheeg
á	af
málverkafölsunarmálinu	nheþg
var	sfg3eþ
harðlega	aa
gagnrýnt	x
á	af
Alþingi	nheþ-s
í	af
morgun	nkeo
.	pl

Sýknudómur	nken
Hæstaréttar	nkee-s
yfir	af
mönnunum	nkfþg
tveimur	tfkfþ
sem	ct
ákærðir	sþgkfn
voru	sfg3fþ
fyrir	af
að	cn
selja	sng
fölsuð	lhfosf
málverk	nhfo
hefur	sfg3en
að	af
vonum	nvfþ
vakið	sþghen
mikla	lveosf
athygli	nveo
.	pl

Í	af
ályktun	nveþ
sem	ct
stjórn	nven
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
sendi	sfg3eþ
frá	af
sér	fpveþ
í	af
gærkvöldi	nheþ
,	pk
segir	sfg3en
m.a.	ks
að	c
niðurstaðan	nveng
sé	svg3en
gífurlegt	lhensf
áfall	nhen
fyrir	af
íslenskt	lheosf
myndlistarlíf	nheo
.	pl

Áslaug	nven-s
Thorlacius	nven-s
,	pk
formaður	nken
sambandsins	nheeg
sagðist	sfm3eþ
á	af
Morgunvaktinni	nveþgs
í	af
morgun	nkeo
ekki	aa
leggja	sng
áherslu	nveo
á	af
að	c
einhverjir	fokfn
menn	nkfn
færu	svg3fþ
í	af
fangelsi	nheo
,	pk
þeir	fpkfn
yrðu	svg3fþ
að	cn
njóta	sng
vafans	nkeeg
.	pl

Áslaug	nven-s
Thorlacius	nven-s
,	pk
formaður	nken
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
:	pa
«	pg
En	c
mér	fp1eþ
finnst	sfm3en
slæmt	lhensf
ef	c
að	c
þessi	fahfn
fölsuðu	lhfnvf
verk	nhfn
eða	c
þessi	fahfn
verk	nhfn
sem	ct
að	c
nánast	aae
allir	fokfn
eru	sfg3fn
sammála	lkfnof
um	af
að	cn
eru	sfg3fn
fölsuð	lhfnsf
,	pk
skuli	svg3fn
nú	aa
hafa	sng
fengið	sþghen
einhvern	fokeo
svona	lkeoof
gæðastimpil	nkeo
bara	aa
eða	c
eitthvert	foheo
sakleysisvottorð	nheo
og	c
séu	svg3fn
bara	aa
komin	sþghfn
aftur	aa
í	af
umferð	nveo
.	pl
»	pg

Stjórn	nven
Sambands	nhee-s
myndlistarmanna	nkfe
skorar	sfg3en
á	af
stjórnvöld	nhfo
að	cn
finna	sng
færa	lveosf
leið	nveo
til	af
þess	fphee
að	cn
koma	sng
fölsuðu	lhfþvf
verkunum	nhfþg
úr	af
umferð	nveþ
.	pl

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	pk
menntamálaráðherra	nken
segist	sfm3en
fyrir	af
nokkru	foheþ
hafa	sng
ákveðið	sþghen
að	cn
skipa	sng
starfshóp	nkeo
til	af
að	cn
fara	sng
yfir	af
málverkafölsunarmálið	nheog
,	pk
m.a.	ks
með	af
höfundarrétt	nkeo
í	af
huga	nkeþ
og	c
hvernig	aa
eigi	svg3en
að	cn
skrá	sng
verk	nhfo
gömlu	lkfevf
meistaranna	nkfeg
og	c
þar	aa
með	aa
listasöguna	nveog
.	pl

Sýknudómur	nken
Hæstaréttar	nkee-s
breyti	svg3en
engu	foheþ
um	af
þetta	faheo
.	pl

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	pk
menntamálaráðherra	nken
(	pa
D	x
)	pa
:	pa
«	pg
Það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
eru	sfg3fn
fölsuð	lhfnsf
verk	nhfn
í	af
umferð	nveþ
og	c
menningarlega	aa
og	c
menningarsögulega	aa
þá	aa
ber	sfg3en
mér	fp1eþ
í	af
rauninni	nveþg
skylda	nven
til	af
þess	fphee
að	cn
bregðast	snm
við	af
því	fpheþ
hvernig	aa
við	fp1fn
komum	sfg1fn
til	aa
með	af
að	cn
meðhöndla	sng
þau	fahfo
verk	nhfo
sem	ct
að	aa
eru	sfg3fn
í	af
umferð	nveþ
hér	aa
á	af
landi	nheþ
.	pl

Hvort	c
sem	c
að	c
Hæstiréttur	nken-s
hafi	svg3en
sýknað	sþghen
eða	c
ekki	aa
þá	aa
verðum	sfg1fn
við	fp1fn
að	cn
taka	sng
afstöðu	nveo
hvað	fsheo
við	fp1fn
ætlum	sfg1fn
að	cn
gera	sng
við	af
þessi	fahfo
fölsuðu	lhfovf
verk	nhfo
sem	ct
að	aa
eru	sfg3fn
í	af
gangi	nkeþ
hér	aa
á	af
landi	nheþ
.	pl
»	pg

Þingmenn	nkfn
fögnuðu	sfg3fþ
viðbrögðum	nhfþ
menntamálaráðherra	nkee
á	af
Alþingi	nheþ-s
í	af
morgun	nkeo
.	pl

Lúðvík	nken-s
Bergvinsson	nken-s
,	pk
þingmaður	nken
Samfylkingarinnar	nveegs
sagði	sfg3eþ
hins	fakee
vegar	nkee
að	c
rannsókninni	nveþg
hefði	svg3eþ
verið	sþghen
svo	aa
áfátt	lhensf
af	af
hálfu	nveþ
ríkislögreglustjóra	nkee
að	c
Hæstiréttur	nken-s
hefði	svg3eþ
ekki	aa
getað	sþghen
komist	sþmhen
að	af
annarri	foveþ
niðurstöðu	nveþ
.	pl

Lúðvík	nken-s
Bergvinsson	nken-s
,	pk
alþingismaður	nken
(	pa
S	x
)	pa
:	pa
«	pg
Ríkislögreglustjóraembættið	nhengs
er	sfg3en
mjög	aa
mikilvægt	lhensf
og	c
það	fphen
er	sfg3en
mikilvægt	lhensf
að	c
þar	aa
gangi	svg3fn
hlutirnir	nkfng
vel	aa
fyrir	af
sig	fpkfo
.	pl

Í	af
þessu	faheþ
tilviki	nheþ
fær	sfg3en
það	fphen
mikinn	lkeosf
rasskell	nkeo
og	c
ég	fp1en
held	sfg1en
að	c
hæstvirtur	lkensf
dómsmálaráðherra	nken
þurfi	svg3en
að	cn
gefa	sng
þá	faveo
yfirlýsingu	nveo
að	c
hann	fpken
standi	svg3en
enn	aa
ókeikur	lkensf
á	af
bak	nheo
við	af
þann	fakeo
ríkislögreglustjóra	nkeo
sem	ct
nú	aa
situr	sfg3en
.	pl
»	pg

Og	c
það	fphen
vantaði	sfg3eþ
ekkert	fohen
upp	aa
á	af
stuðninginn	nkeog
hjá	af
Davíð	nkeþ-s
Oddssyni	nkeþ-s
,	pk
starfandi	lkeþof
dómsmálaráðherra	nkeþ
sem	ct
sagði	sfg3eþ
Lúðvík	nken-s
ekki	aa
hafa	sng
átt	sþghen
annað	foheo
erindi	nheo
í	af
ræðustól	nkeo
en	c
koma	sng
höggi	nheþ
á	af
ríkislögreglustjóra	nkeo
.	pl

Davíð	nken-s
Oddsson	nken-s
,	pk
starfandi	lkenof
dómsmálaráðherra	nken
(	pa
D	x
)	pa
:	pa
«	pg
Ekki	aa
veit	sfg1en
ég	fp1en
hvers	fshee
vegna	af
,	pk
hvað	fshen
fyrir	af
háttvirtum	lkeþsf
þingmanni	nkeþ
vakir	sfg3en
.	pl

Það	fphen
hefur	sfg3en
ekkert	fohen
