-	pa
Tað	fphen
sirmar	svg3en
framhaldandi	slg	UNKNOWN
,	pk
tá	c
báturin	nkeng
kemur	svg3en
aftur	aa
.	pl

Men	c
tað	fphen
man	svg3en	UNKNOWN
fara	sng
at	cn
laga	sng
seg	fpheo
,	pk
tá	c
tann	faven
tíð	nven
kemur	svg3en
.	pl

Í	af
vár	nheo
bleiv	svg3eþ
Mijailo	e	UNKNOWN
Mijailovic	e	UNKNOWN
dømdur	sþmken	UNKNOWN
lívlanga	lveosf
fongsulsrevsing	nveo
fyri	aa
at	cn
hava	sng
myrt	sþmhen
svenska	lkeovf
uttanríkisráðharran	nkeog
,	pk
Onnu	nveo-s	UNKNOWN
Lindh	n----s	UNKNOWN
,	pk
tann	faken
10.	ta	UNKNOWN
september	nkeo
í	af
fjør	nheo
.	pl

Ein	fbken
partur	nken
av	af
semjuni	nveþg
var	svg3eþ
at	cn
broyta	sng
skipanina	nveog
við	af
,	pk
at	c
tey	fahfn
stóru	lhfnvf	UNKNOWN
apotekini	nhfng
skulu	svg3fn	UNKNOWN
stuðla	sng
teimum	fahfþ
smáu	lhfþvf	UNKNOWN
.	pl

Einir	fbhfn
100	ta	UNKNOWN
íslendingar	nkfn
vitjaðu	svg3fþ
Vág	nkeo-s
í	af
samband	nheo
við	af
avdúkingina	nveog

Kona	nven
Jógvan	nkeo-s	UNKNOWN
,	pk
Guðja	nven-s	UNKNOWN
,	pk
var	svg3eþ
íslendsk	lvensf
,	pk
og	c
stutt	aa
eftir	aa
at	cn
Jógvan	nken-s	UNKNOWN
var	svg3eþ
burturgingin	sþmken
,	pk
flutti	svg3eþ
Guðja	nven-s	UNKNOWN
aftur	aa
til	af
Ísland	nheo-s	UNKNOWN
og	c
hevði	svg1eþ	UNKNOWN
øll	fbhfo
børnini	nhfog
við	aa
.	pl

Støðan	nveng
í	af
dag	nkeo
minnir	svg3en
nógv	aa
um	af
imperialismu	nveo
,	pk
har	aa
annar	fbken
parturin	nkeng
ger	svg3en
sær	fpkeþ
dælt	lheosf
av	af
hinum	fakeþ
,	pk
sigur	svg3en
ein	fbken
bersøgin	lkensf
Jóannes	nken-s	UNKNOWN
Eidesgaard	n----s	UNKNOWN
,	pk
formaður	nken
Javnaðarfloksins	nkeeg
í	af
viðmerking	nveþ
til	af
spentu	lveovf
støðuna	nveog
millum	af
Føroyar	nvfo-s	UNKNOWN
og	c
Danmark	nheo-s	UNKNOWN
og	c
til	af
veljarakanningina	nveog
,	pk
ið	ct
gevur	svg3en
Sambands-	nkeþg	UNKNOWN
og	c
Tjóðveldisflokkinum	nkeþg
størstu	lveove	UNKNOWN
undirtøkuna	nveog

Hetta	fahen
sigur	svg3en
Jóannes	nken-s	UNKNOWN
Eidesgaard	n----s	UNKNOWN
í	af
viðmerking	nveþ
til	af
veljarakanningina	nveog
,	pk
sum	ct
varð	svg3eþ	UNKNOWN
almannakunngjørd	sþmven	UNKNOWN
í	af
Dimmalætting	nveþ
leygardagin	nkeog
.	pl

Men	c
hann	fpken
heldur	svg3en
,	pk
at	c
tá	c
til	af
stykkis	nhee
kemur	svg3en
,	pk
fara	svg3fn
teir	fakfn
hóvligaru	lkfnve	UNKNOWN
flokkarnir	nkfng
at	cn
vinna	sng
nakað	fbheo
aftur	aa
.	pl

Teir	fpkfn
hava	svg3fn
ikki	aa
uppiborið	lheosf
nakað	fbheo
annað	fbheo
,	pk
og	c
fyri	af
okkara	fp1fe
egnu	lveosf	UNKNOWN
sjálvsvirðing	nveo
noyðast	svm3fn
vit	fp1fn
at	cn
taka	sng
hesi	fahfo
viðurskiftini	nhfog
til	af
viðgerðar	nvee

«	pg	UNKNOWN

»	pg	UNKNOWN
Tað	fphen
kann	svg3en
gott	aa
vera	sng
,	pk
at	cn
alt	fbhen
varð	svg3eþ	UNKNOWN
sent	sþmhen
undir	af
nummarinum	nheþg	UNKNOWN
hjá	af
Vestsalmon	e	UNKNOWN
,	pk
«	pg	UNKNOWN
sigur	svg3en
Martin	nken-s	UNKNOWN
Hendriksson	nken-s	UNKNOWN
.	pl

Men	c
tá	c
Martin	nken-s	UNKNOWN
Hendriksson	nken-s	UNKNOWN
so	aa
hevði	svg3eþ	UNKNOWN
greitt	sþmhen
Starvsstovuni	nveþg
frá	af
,	pk
at	c
talan	nven
var	svg3eþ
um	af
frystan	lkeosf
laks	nkeo
,	pk
sum	ct
bara	aa
var	svg3eþ
skrivaður	sþmken	UNKNOWN
sum	c
feskur	lkensf
,	pk
fekk	svg3eþ	UNKNOWN
hann	fpken
at	cn
vita	sng
,	pk
at	c
alt	aa
var	svg3eþ
í	af
lagi	nheþ
,	pk
sigur	svg3en
Martin	nken-s	UNKNOWN
Hendriksson	nkeo-s	UNKNOWN
.	pl

Soleiðis	aa
,	pk
at	c
Starvsstovan	nveng
kann	svg3en
fylgja	sng
við	af
,	pk
at	c
tað	fphen
ikki	aa
er	svg3en
nýliga	aa
heilivágsviðgjørdur	sþmken	UNKNOWN
fiskur	nken
,	pk
sum	ct
tikin	sþmken	UNKNOWN
verður	svg3en
.	pl

Martin	nken-s	UNKNOWN
Hendriksson	nkeo-s	UNKNOWN
noktar	svg3en
blankt	lhensf
fyri	af
,	pk
at	c
hann	fpken
er	svg3en
millum	af
teirra	fpkfe
,	pk
sum	ct
ætla	svg3fn
at	cn
leiga	sng
virkið	nheog
hjá	af
Nósa	nkeþ
í	af
Oyndarfirði	nkeþ-s	UNKNOWN
aftur	aa
.	pl

Hann	fpken
hevur	svg3en	UNKNOWN
m.a.	ks	UNKNOWN
tikist	svm3en	UNKNOWN
við	aa
at	cn
gera	sng
forkanningarloyvi	nhfo	UNKNOWN
og	c
samráddist	svg3eþ
vegna	af
Oljufyrisitingina	nveog
við	af
oljufeløgini	nhfog
,	pk
sum	ct
fingu	svg3fþ	UNKNOWN
loyvi	nheo
at	cn
bora	sng
í	af
Lopra	nveþ-s
.	pl

-	pa
Vit	fp1fn
eru	svg1fn	UNKNOWN
noyddir	sþgkfn	UNKNOWN
til	aa
at	cn
taka	sng
hædd	nveo
fyri	af
føroyskum	lhfþsf
áhugamálum	nhfþ
,	pk
og	c
tí	c
hava	svg1fn
vit	fp1fn
tikið	sþmhen
fyrivarni	nheo
í	af
hesum	faheþ
málinum	nheþg
.	pl

Nú	aa
bíða	svg3fn
vit	fp1fn
spentir	lkfnsf
eftir	af
at	cn
síggja	sng
,	pk
hvat	fshen
bretar	nkfn
meina	svg3fn
við	aa
og	c
nær	aa
teir	fpkfn
koma	svg3fn
við	af
nøkrum	fbhfþ
,	pk
sum	ct
líkist	svm3en
einum	fbheþ
samráðingaruppleggi	nheþ	UNKNOWN
millum	af
tvey	tfhfo
lond	nhfo
,	pk
sum	ct
eru	svg3fn	UNKNOWN
grannalond	nhfn
og	c
sum	c
skulu	svg3fn	UNKNOWN
liva	sng
í	af
sátt	nveþ
og	c
semju	nveþ
og	c
góðum	lheþsf
grannalag	nheþ
og	c
vónandi	aa
í	af
samstarvi	nheþ
í	af
framtíðini	nveþg
.	pl

So	aa
leingi	aa
ein	fbken
ikki	aa
góðtekur	svg3en
,	pk
at	c
tað	fphen
er	svg3en
hetta	fahen
vit	fp1fn
skulu	svg1fn	UNKNOWN
semjast	snm	UNKNOWN
um	aa
,	pk
so	aa
kann	svg3en
ein	fbken
ikki	aa
siga	sng
,	pk
at	c
tað	fphen
er	svg3en
nakar	fbken
vilji	nken
frá	af
bretskari	lveþsf
síðu	nveþ
at	cn
fáa	sng
eina	fbveo
veruliga	lveosf
loysn	nveo
,	pk
sum	ct
sømir	svg3en
seg	fpkeo
.	pl

-	pa
Verður	svg3en
einki	fbhen
úrslit	nhen
fyri	af
hálvan	lkeosf
januar	nkeo
og	c
málið	nheng
verður	svg3en
tikið	sþmhen
upp	aa
politiskt	lhensf
,	pk
verða	svg3fn
tað	fphen
so	aa
ikki	aa
Nyrup	n----s	UNKNOWN
og	c
uttanríkisráðharrin	nkeng
,	pk
sum	ct
koma	svg3fn
at	cn
taka	sng
sær	fpkeþ
av	af
málinum	nheþg
og	c
ikki	aa
vit	fp1fn
føroyingar	nkfn
!	pl

Tað	fphen
var	svg3eþ
skilagott	lhensf
at	cn
mansverja	sng
Inga	nkeo-s	UNKNOWN
Olsen	n----s	UNKNOWN

VÍF	ks	UNKNOWN
spældi	svg3eþ
væl	aa
,	pk
H71	ks	UNKNOWN
eisini	aa
,	pk
og	c
so	aa
stríddust	svm3fþ
liðini	nhfng
um	af
hvønn	fbkeo
tumma	nkeo
á	af
vøllinum	nkeþg
,	pk
um	af
hvønn	fbkeo
bólt	nkeo
og	c
fyri	af
hvørjum	fskeþ
møguleika	nkeo
at	cn
fáa	sng
avgerandi	slg
munin	nkeog
í	af
dystinum	nkeþg
.	pl

Men	c
tað	fphen
krevur	svg3en
nógv	lhensf
.	pl

Síðani	aa
royndu	svg3fþ
bæði	fbhfn
liðini	nhfng
at	cn
leggja	sng
seg	fpheo
fram	aa
um	aa
,	pk
men	c
so	aa
javnaði	svg3eþ
hitt	fahen
aftur	aa
.	pl

Amerikanskt	lhensf
plátufelag	nhen	UNKNOWN
lokkar	svg3en
Regin	nkeo-s	UNKNOWN
Guttesen	n----s	UNKNOWN

Tað	fphen
er	svg3en
uttan	aa
iva	nkeo
við	aa
til	af
at	cn
plátufelagið	nheng	UNKNOWN
er	svg3en
áhugað	lhensf
í	af
at	cn
gera	sng
sáttmála	nkeo
við	af
meg	fp1eo
.	pl

Ein	fbken
partur	nken
av	af
upphæddini	nveþg
leyp	svg3eþ
av	aa
,	pk
og	c
sjúkrasystranæmingarnir	nkfng	UNKNOWN
gjørdu	svg3fþ
av	aa
at	cn
lata	sng
peningin	nkeog
til	af
AIDS	ks	UNKNOWN
-	pa
Ráðið	nheog
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Teir	fpkfn
skipa	svg3fn
javnan	aa
fyri	af
tiltøkum	nhfþ
,	pk
men	c
at	c
neyðugt	lhensf
er	svg3en
við	af
einum	fbkeþ
samskipara	nkeþ
í	af
hesum	faheþ
arbeiðnum	nheþg
.	pl

Tað	fphen
var	svg3eþ
eitt	fbhen
tað	fahen
fyrsta	lhenve
,	pk
vit	fp1fn
viðtóku	svg1fþ
,	pk
tá	c
ið	c
vit	fp1fn
frættu	svg1fþ
um	af
hesar	favfo
hóttanirnar	nvfog
.	pl

Tað	fpheo
skulu	svg3fn	UNKNOWN
vit	fp1fn
heldur	aam
ikki	aa
revsast	snm
fyri	aa

Sosialurin	nkeng	UNKNOWN
hevur	svg3en	UNKNOWN
fingið	sþmhen	UNKNOWN
innlit	nheo
í	af
brævið	nheog
,	pk
sum	ct
Christian	nken-s	UNKNOWN
Andreasen	n----s	UNKNOWN
skrivaði	svg3eþ
til	af
landsstýrismannin	nkeog
í	af
Vinnumálum	nhfþ
mánadagin	nkeog
19.	ta	UNKNOWN
februar	nken
.	pl

Christian	nken-s	UNKNOWN
Andreasen	n----s	UNKNOWN
eftirlýsir	svg3en	UNKNOWN
eisini	aa
fundarfrásøgn	nveþ
frá	af
aðalfundinum	nkeþg
hjá	af
Smyril	nken
Line	e	UNKNOWN
.	pl

Alt	aa
hetta	fahen
sigur	svg3en
Christian	nken-s	UNKNOWN
Andreasen	n----s	UNKNOWN
seg	fpkeo
ikki	aa
kunna	sng
taka	sng
ábyrgdina	nveog
av	aa
,	pk
og	c
tí	aa
boðar	svg3en
hann	fpken
avvarandi	slg	UNKNOWN
myndugleikum	nkfþ
frá	aa
,	pk
at	c
hann	fpken
ikki	aa
ynskir	svg3en
at	cn
taka	sng
við	af
valinum	nheþg
sum	c
nevndarlimur	nken
í	af
Smyril	nken
Line	e	UNKNOWN
.	pl

Hetta	fahen
er	svg3en
eitt	fbhen
áhugavert	lhensf
samstarv	nhen
,	pk
sum	ct
sjálvandi	aa
ikki	aa
skal	svg3en
misbrúkast	snm	UNKNOWN
,	pk
sigur	svg3en
Símun	nken-s	UNKNOWN
Petur	nken-s	UNKNOWN
Hjelm	n----s	UNKNOWN
,	pk
stjóri	nken
í	af
skúlanum	nkeþg
við	af
Ósánna	nveogs	UNKNOWN
.	pl

Serliga	aa
dysturin	nkeng
móti	af
HIK	n---	UNKNOWN
var	svg3eþ
týdningarmikil	nken
og	c
skuldi	svg3eþ	UNKNOWN
vinnast	snm	UNKNOWN
,	pk
um	aa
føroysku	lvenvf	UNKNOWN
kvinnunar	nvfng	UNKNOWN
skuldu	svg3fþ	UNKNOWN
varðveita	sng
møguleikan	nkeog
at	cn
koma	sng
í	af
semifinaluna	nveog	UNKNOWN
um	af
danska	lheovf
meistaraheitið	nheog
.	pl

Støðan	nveng
er	svg3en
beint	aa
nú	aa
,	pk
at	c
DHG	ks	UNKNOWN
er	svg3en
á	af
odda	nkeþ
við	af
fullum	lheþsf
stigatali	nheþ
og	c
Holte	e	UNKNOWN
liggur	svg3en	UNKNOWN
nr.	kt	UNKNOWN
2.	ta	UNKNOWN
Holte	e	UNKNOWN
hevur	svg3en	UNKNOWN
bert	aa
tapt	sþmhen
ímóti	af
DHG	ks	UNKNOWN
.	pl

Tá	c
ein	fbven
bussverksmiðja	nven	UNKNOWN
selur	svg3en
ein	fbkeo
buss	nkeo
,	pk
er	svg3en
tað	fphen
vanliga	aa
bara	aa
undirvognin	nkeog	UNKNOWN
,	pk
teir	fpkfn
selja	sng
.	pl

Serfrøðingar	nkfn
í	af
Danmark	nheþ-s	UNKNOWN
vitjaðu	svg3fþ
og	c
greiddu	svg3fþ
frá	af
gransking	nveþ
og	c
viðgerð	nveþ
í	af
samband	nheo
við	af
bróstkrabbamein	nheo	UNKNOWN
.	pl

Tað	fphen
vóru	svg3fþ	UNKNOWN
teir	fpkfn
báðir	fbkfn	UNKNOWN
Mogens	n----s	UNKNOWN
Blichert	n----s	UNKNOWN
-	pa
Toft	n----s
,	pk
professari	nken
í	af
krabbameissjúkum	nveþ	UNKNOWN
og	c
Carsten	n----s	UNKNOWN
Rose	n----s	UNKNOWN
,	pk
onkologur	nken	UNKNOWN
,	pk
sum	ct
fæst	svg3en	UNKNOWN
við	af
eftirviðgerð	nveo
av	af
bróstkrabba	nkeþ
.	pl

Hagtølini	nhfng
er	svg3en
kortini	aa
so	aa
fesk	lhfnsf
,	pk
og	c
vit	fp1fn
hava	svg3fn
ikki	aa
gjørt	sþmhen
sundurgreinandi	slg	UNKNOWN
kanningar	nvfo
um	aa
t.d.	ks	UNKNOWN
,	pk
hvussu	aa
nógv	lhensf
sleppa	sng
undan	aa
sjúkuni	nveþg
og	c
hvussu	aa
møguleikarnir	nkfng
eru	svg3fn	UNKNOWN
fyri	af
at	cn
yvirliva	sng	UNKNOWN
.	pl

Trupulleikarnir	nkfng
í	af
Danmark	nheþ-s	UNKNOWN
eru	svg3fn	UNKNOWN
tær	favfn
longu	lvfnvf
bíðitíðirnar	nvfng	UNKNOWN
til	af
viðgerð	nveo
og	c
eftirviðgerð	nveo
,	pk
og	c
har	aa
verða	sng
føroyingar	nkfn
ikki	aa
tiknir	sþgkfn	UNKNOWN
fram	aa
um	af
danir	nkfo
.	pl

Eini	fbveþ
20	ta	UNKNOWN
tilburðir	nkfn
av	af
bróstkrabba	nkeþ
eru	svg3fn	UNKNOWN
árliga	aa
í	af
Føroyum	nvfþ-s	UNKNOWN
,	pk
men	c
læknarnir	nkfng
vita	sng
sum	ct
s	aa
agt	svg3eþ	UNKNOWN
ikki	aa
,	pk
hvussu	aa
leingi	aa
sjúklingarnir	nkfng
liva	sng
,	pk
og	c
heldur	aam
ikki	aa
,	pk
hvussu	aa
leingi	aa
sjúkan	nveng
hevur	svg3en	UNKNOWN
gjørt	sþmhen
um	af
seg	fpkeo
,	pk
áðrenn	c
hon	fpven
verður	svg3en
staðfest	sþmven
.	pl

Tað	fphen
er	svg3en
tó	aa
treytað	sþmhen
av	aa
at	c
vit	fp1fn
hava	sng
góðar	lvfosf
umstøður	nvfo
,	pk
vant	sþmheo
starvsfólk	nheo
og	c
góða	lveosf
røntgenútgerð	nveo	UNKNOWN
,	pk
sigur	svg3en
Eliesar	nken-s	UNKNOWN
Olsen	n----s	UNKNOWN
.	pl

Super	e	UNKNOWN
Dekk	e
í	af
Havn	nveþ-s
hevur	svg3en	UNKNOWN
selt	sþmhen
dekk	nhfo
í	af
mong	nkeo
ár	nheo
og	c
umboðar	svg3en
nú	aa
Goodyear	e	UNKNOWN
-	pa
amerikanska	lheovf
dekkmerkið	nheog	UNKNOWN
,	pk
sum	ct
fyrr	aam
í	af
ár	nheo
fylti	svg3eþ
100	ta	UNKNOWN
ár	nkfn
.	pl

Afturat	aa
hesum	faheþ
,	pk
so	aa
eru	svg3fn	UNKNOWN
vetrardekkini	nhfng	UNKNOWN
gjørd	sþghfn
úr	af
aðrari	fbveþ
gummiblanding	nveþ	UNKNOWN
við	af
meira	aam
av	af
rágummi	nheþ
í	aa
.	pl

Fríðrikur	nken-s	UNKNOWN
Bláhamar	nken	UNKNOWN
heldur	svg3en
annars	aa
,	pk
at	c
tað	fphen
nú	aa
er	svg3en
tíð	nven
upp	aa
á	aa
,	pk
at	c
myndugleikarnir	nkfng
fara	svg3fn
undir	aa
at	cn
gera	sng
eina	fbveo
hálkubreyt	nveo
,	pk
soleiðis	aa
at	c
bilførarar	nkfn
,	pk
ungir	lkfnsf
sum	c
eldri	lkfnsm	UNKNOWN
,	pk
undir	af
tryggum	lvfþsf
umstøðum	nvfþ
sleppa	svg3fn
at	cn
venja	sng
seg	fpkeo
í	af
hálkukoyring	nveþ
.	pl

Støða	nven
skal	svg3en
takast	snm	UNKNOWN
til	af
hópin	nkeog
av	af
málum	nhfþ
.	pl

Í	af
tilmælinum	nheþg
verður	svg3en
m.a.	ks	UNKNOWN
sett	sþmhen
upp	aa
,	pk
at	c
manningar	nkfn
á	af
seismikkskipum	nhfþ	UNKNOWN
skulu	svg3fn	UNKNOWN
gjalda	sng
skatt	nkeo
her	aa
.	pl

Eingin	fbken
ivi	nken
er	svg3en
um	aa
,	pk
at	c
vit	fp1fn
eiga	sng
at	cn
leggja	sng
viðurskiftini	nhfog
soleiðis	aa
til	af
rættis	nkee	UNKNOWN
,	pk
at	cn
oljuvirksemið	nheng	UNKNOWN
skapar	svg3en
mest	aae
møguligt	lheosf
arbeiði	nheo
her	aa
á	af
landi	nheþ
og	c
leggur	svg3en
mest	aae
møguligt	lhensf
eftir	af
seg	fpkeo
her	aa
.	pl

Tað	fphen
kann	svg3en
væl	aa
verða	sng
at	cn
tað	fphen
endar	svg3en
við	af
Dúgvuni	nveþg
kortini	aa

Men	c
skotbráið	nheng
er	svg3en
stutt	lhensf
og	c
møguleikarnir	nkfng
tí	aa
ógvuliga	aa
avmarkaðir	lkfnsf
.	pl

Loysnin	nveng
má	svg3en
standa	sng
í	af
rímiligt	lheosf
mát	nheo
til	af
tíðina	nveog
,	pk
hon	fpven
skal	svg3en
brúkast	snm	UNKNOWN
.	pl

Hann	fpken
vísti	svg3eþ
á	af
henda	fakeo
óbendiliga	aa
tørvin	nkeog
,	pk
sum	ct
tingmenn	nkfn
hava	svg3fn
at	cn
nýta	sng
fíggjarlógina	nveog
at	cn
»	pg	UNKNOWN
gera	sng
gott	aa
við	aa
«	pg	UNKNOWN
,	pk
og	c
hvussu	aa
stórar	lvfosf
upphæddir	nvfo
júst	aa
hetta	fahen
málið	nheng
sýr	svg3en
seg	fpheo
um	aa
.	pl

Hann	fpken
vísti	svg3eþ
eisini	aa
á	aa
,	pk
at	cn
tað	fphen
bara	aa
eru	svg3fn	UNKNOWN
kávalótir	nvfn
at	cn
siga	sng
,	pk
at	cn
tað	fphen
er	svg3en
tað	fahen
almenna	lhensf
ella	c
fakfeløg	nhfn
,	pk
ið	ct
eiga	svg3fn
at	cn
hava	sng
ábyrgdina	nveog
av	af
aldurdóminum	nkeþg
.	pl

Nú	aa
summarið	nheng
nærkast	snm	UNKNOWN
,	pk
er	svg3en
tað	fphen
eisini	aa
tíðin	nveng
,	pk
tá	c
seismikkskipini	nhfng	UNKNOWN
plaga	svg3fn
at	cn
koma	sng
aftur	aa
á	af
Føroyaleiðina	nveog	UNKNOWN
at	cn
gera	sng
kanningar	nvfo
.	pl

Leif	nken-s	UNKNOWN
Larsen	n----s	UNKNOWN
sigur	svg3en
,	pk
at	cn
hóast	c
seismikkfeløgini	nhfng	UNKNOWN
í	af
hvør	fbken
sínum	fpheþ
lag	nheþ
royna	svg3fn
at	cn
loysa	sng
gordiska	lkeovf	UNKNOWN
knútin	nkeo
og	cn
síggja	sng
niður	aa
gjøgnum	af
basaltið	nheog
,	pk
so	aa
er	svg3en
enn	aa
eingin	fbven
endalig	lvensf
loysn	nven
funnin	sþmven	UNKNOWN
.	pl

Heldur	aam
vilja	svg3fn
tey	fphfn
?	pl

Tosa	sng
við	af
tveimum	tfvfþ
tungum	nvfþ

Tað	fphen
er	svg3en
ikki	aa
ráðiligt	lhensf
at	cn
bíða	sng
longur	aa

Tað	fphen
er	svg3en
galdandi	slg	UNKNOWN
í	af
hesum	faheþ
máli	nheþ
eins	c
í	af
so	aa
nógvum	lhfþsf
øðrum	fbhfþ
,	pk
sum	c
Landsstýrið	nheng
ger	svg3en
sáttmálar	nkfo
,	pk
sigur	svg3en
Eilif	nken-s	UNKNOWN
Samuelsen	n----s	UNKNOWN
.	pl

Eg	fp1en
haldi	svg1en
,	pk
at	c
vit	fp1fn
í	af
virðing	nveþ
fyri	af
hvør	fbhfþ
øðrum	fbhfþ
skulu	svg3fn	UNKNOWN
samráðast	sng
til	aa
vit	fp1fn
koma	svg3fn
til	af
eitt	fbheo
úrslit	nheo
,	pk
sigur	svg3en
Eilif	nken-s	UNKNOWN
Samuelsen	n----s	UNKNOWN
.	pl

Hon	fpven
er	svg3en
á	af
øllum	fbhfþ
arbeiðsplássum	nhfþ
,	pk
í	af
nógvum	lkfþsf
heimum	nhfþ
og	c
er	svg3en
av	af
álvara	nkeþ
á	af
veg	nkeo
inn	aa
í	af
allar	fbkfo
skúlarnar	nkfog
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Telduarbeiði	nhen	UNKNOWN
gevur	svg3en
tær	fp2eþ
eitt	fbheo
læst	lheosf
arbeiðsumhvørvi	nheo	UNKNOWN
,	pk
har	aa
tú	fp2en	UNKNOWN
situr	svg2en
í	af
eini	fbveþ
læstari	lveþsf	UNKNOWN
støðu	nveþ
framman	aa
fyri	af
skíggjan	nkeog
.	pl

Fleiri	lhfnsm	UNKNOWN
hava	svg3fn
fingið	sþmhen	UNKNOWN
skurðviðgerð	nveo
,	pk
men	c
tað	fphen
er	svg3en
ikki	aa
nøkur	fbven
varandi	slg
loysn	nven
um	c
ein	fbkeo
kemur	svg3en
í	af
sama	foheo
arbeiðsumhvørvi	nheo	UNKNOWN
aftur	aa
,	pk
sigur	svg3en
Leila	nven-s	UNKNOWN
á	af
Lofti	nheþ-s
.	pl

Og	c
hjá	af
teimum	fphfþ
flestu	lhfþve	UNKNOWN
ber	svg3en
til	aa
.	pl

Tá	aa
er	svg3en
tað	fphen
av	af
stórum	lkeþsf
týdningi	nkeþ
,	pk
at	c
arbeiðsfólkið	nheng
stuðlar	svg3en
hvønn	fbheo
annan	fbheo
,	pk
og	c
at	c
tað	fphen
verður	svg3en
virt	sþmhen
,	pk
at	c
onkur	fbken
fer	svg3en
frá	aa
at	cn
fáa	sng
hvíld	nveo
.	pl

-	pa
Tað	fphen
óhugnaliga	lhensf
